Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Golden State Warriors,Stephen Curry,1.02,1.07,1.22,1.57,2.42,1.01,1.04,1.11,1.25,1.53,1.42,2.57,7.36,0,0,0,0,1.06,1.31,2.3,6.78,0,0
Golden State Warriors,Klay Thompson,1.17,1.54,2.56,5.78,0,1.03,1.11,1.32,1.82,3.08,2.13,9.77,0,0,0,0,0,1.22,2.48,0,0,0,0
Golden State Warriors,Andrew Wiggins,1.44,2.55,6.94,0,0,1.19,1.77,3.94,0,0,1.43,2.88,0,0,0,0,0,1.36,5.0,0,0,0,0
Golden State Warriors,Draymond Green,2.18,0,0,0,0,1.14,2.08,9.65,0,0,1.12,1.35,1.94,3.5,8.27,0,0,1.05,1.18,1.57,2.67,6.2,0
Golden State Warriors,Jonathan Kuminga,1.15,1.61,3.23,0,0,1.28,3.22,0,0,0,1.26,1.95,4.43,0,0,0,0,1.19,2.83,0,0,0,0
Los Angeles Lakers,D'Angelo Russell,1.2,1.55,2.43,4.84,0,1.1,1.25,1.59,2.34,4.1,1.77,5.21,0,0,0,0,0,1.04,1.13,1.39,2.07,3.95,0
Los Angeles Lakers,Austin Reaves,1.18,1.61,2.99,8.15,0,1.16,1.44,2.13,3.93,9.38,1.55,2.47,5.11,0,0,0,0,1.05,1.22,1.75,3.43,9.94,0
Los Angeles Lakers,Rui Hachimura,1.31,1.93,3.74,0,0,1.2,1.58,2.62,5.75,0,1.37,2.13,4.48,0,0,0,0,1.73,0,0,0,0,0
Los Angeles Lakers,LeBron James,1.0,1.03,1.15,1.57,2.93,1.17,1.39,1.84,2.8,4.97,1.13,1.31,1.71,2.56,4.56,9.79,0,1.01,1.06,1.23,1.76,3.34,9.12
Los Angeles Lakers,Anthony Davis,1.02,1.07,1.26,1.8,3.37,1.36,3.54,0,0,0,1.0,1.01,1.04,1.14,1.38,1.97,3.46,1.27,1.91,4.06,0,0,0
