Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Brooklyn Nets,Dennis Schroder,1.29,1.94,4.01,0,0,1.11,1.46,2.71,8.0,0,2.31,8.87,0,0,0,0,0,1.05,1.21,1.72,3.37,9.81,0
Brooklyn Nets,Cam Thomas,1.14,1.32,1.71,2.52,4.36,1.17,1.45,2.11,3.81,8.72,1.92,4.63,0,0,0,0,0,1.14,1.92,6.87,0,0,0
Brooklyn Nets,Mikal Bridges,1.1,1.34,2.06,4.31,0,1.02,1.12,1.46,2.54,6.54,1.38,2.61,8.57,0,0,0,0,1.08,1.53,4.09,0,0,0
Brooklyn Nets,Cameron Johnson,1.27,2.52,0,0,0,1.02,1.14,1.58,3.19,0,1.36,3.06,0,0,0,0,0,1.22,2.46,0,0,0,0
Brooklyn Nets,Nic Claxton,1.33,2.84,0,0,0,1.76,0,0,0,0,1.02,1.08,1.24,1.65,2.72,5.76,0,1.32,4.17,0,0,0,0
New York Knicks,Donte DiVincenzo,1.32,1.75,2.76,5.27,0,1.07,1.16,1.34,1.71,2.43,1.58,4.4,0,0,0,0,0,1.17,2.15,9.07,0,0,0
New York Knicks,Josh Hart,1.63,3.16,9.3,0,0,1.18,1.83,4.69,0,0,1.06,1.18,1.44,2.03,3.41,7.02,0,1.14,1.45,2.33,5.12,0,0
New York Knicks,Jalen Brunson,1.02,1.08,1.22,1.55,2.3,1.05,1.18,1.52,2.4,4.88,1.62,6.18,0,0,0,0,0,1.02,1.09,1.31,1.93,3.72,9.93
New York Knicks,OG Anunoby,1.15,1.62,3.36,0,0,1.06,1.24,1.78,3.44,9.63,1.43,2.82,9.79,0,0,0,0,1.24,3.1,0,0,0,0
New York Knicks,Isaiah Hartenstein,2.72,0,0,0,0,nan,nan,nan,nan,nan,1.11,1.25,1.54,2.13,3.36,6.19,0,1.23,2.41,0,0,0,0
