Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Chicago Bulls,Coby White,1.09,1.29,1.85,3.45,8.83,1.07,1.19,1.47,2.09,3.52,1.32,2.39,7.53,0,0,0,0,1.05,1.23,1.87,4.28,0,0
Chicago Bulls,Alex Caruso,1.89,6.09,0,0,0,1.15,1.46,2.27,4.62,0,1.6,4.64,0,0,0,0,0,1.12,1.65,4.12,0,0,0
Chicago Bulls,Ayo Dosunmu,1.5,2.4,5.1,0,0,1.16,1.5,2.45,5.37,0,2.71,0,0,0,0,0,0,1.21,1.93,4.97,0,0,0
Chicago Bulls,DeMar DeRozan,1.03,1.12,1.36,1.97,3.61,1.25,2.07,5.72,0,0,1.37,2.58,8.46,0,0,0,0,1.03,1.19,1.78,4.13,0,0
Chicago Bulls,Nikola Vucevic,1.08,1.33,2.17,5.23,0,1.09,1.62,4.78,0,0,1.01,1.04,1.13,1.37,1.92,3.29,7.12,1.07,1.56,4.68,0,0,0
Washington Wizards,Tyus Jones,1.37,2.53,7.94,0,0,1.17,1.52,2.47,5.34,0,2.02,5.65,0,0,0,0,0,1.03,1.11,1.32,1.87,3.29,7.57
Washington Wizards,Jordan Poole,1.23,1.58,2.39,4.44,0,1.1,1.3,1.81,3.19,7.35,2.13,9.03,0,0,0,0,0,1.1,1.36,2.07,4.25,0,0
Washington Wizards,Deni Avdija,1.21,1.86,4.45,0,0,1.11,1.61,4.05,0,0,1.12,1.33,1.86,3.18,6.94,0,0,1.1,1.56,3.66,0,0,0
Washington Wizards,Kyle Kuzma,1.02,1.13,1.5,2.76,7.85,1.08,1.27,1.78,3.2,7.73,1.16,1.43,2.1,3.83,8.98,0,0,1.1,1.36,2.15,4.77,0,0
Washington Wizards,Marvin Bagley III,1.45,2.62,7.41,0,0,1.43,0,0,0,0,1.21,1.51,2.22,3.93,8.63,0,0,2.37,0,0,0,0,0
