Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Dallas Mavericks,Luka Doncic,1.01,1.03,1.08,1.21,1.49,1.01,1.04,1.12,1.3,1.7,1.03,1.11,1.32,1.84,3.19,7.1,0,1.01,1.03,1.1,1.29,1.75,2.93
Dallas Mavericks,Kyrie Irving,1.02,1.09,1.31,1.95,3.86,1.05,1.16,1.44,2.14,4.01,1.43,2.98,0,0,0,0,0,1.08,1.3,1.98,4.21,0,0
Dallas Mavericks,Derrick Jones Jr.,2.43,6.71,0,0,0,1.22,2.17,7.44,0,0,2.05,5.1,0,0,0,0,0,2.05,0,0,0,0,0
Dallas Mavericks,P.J. Washington,1.62,3.38,0,0,0,1.13,1.44,2.33,5.21,0,1.18,1.75,3.97,0,0,0,0,1.38,3.89,0,0,0,0
Dallas Mavericks,Daniel Gafford,1.56,3.07,9.73,0,0,nan,nan,nan,nan,nan,1.15,1.39,1.9,3.1,6.18,0,0,1.46,6.24,0,0,0,0
Oklahoma City Thunder,Shai Gilgeous-Alexander,1.0,1.0,1.03,1.16,1.59,1.14,1.6,3.33,0,0,1.07,1.44,3.27,0,0,0,0,1.01,1.07,1.34,2.34,6.69,0
Oklahoma City Thunder,Josh Giddey,1.3,2.17,5.61,0,0,1.23,2.04,5.71,0,0,1.07,1.3,2.09,5.01,0,0,0,1.05,1.29,2.2,6.19,0,0
Oklahoma City Thunder,Jalen Williams,1.08,1.33,2.17,5.18,0,1.13,1.56,3.11,0,0,1.44,3.14,0,0,0,0,0,1.07,1.39,2.77,0,0,0
Oklahoma City Thunder,Luguentz Dort,1.48,2.8,8.43,0,0,1.07,1.26,1.8,3.38,8.91,1.67,3.7,0,0,0,0,0,1.55,8.79,0,0,0,0
Oklahoma City Thunder,Chet Holmgren,1.13,1.5,2.67,7.04,0,1.11,1.46,2.67,7.54,0,1.07,1.24,1.7,3.0,7.14,0,0,1.21,2.69,0,0,0,0
