Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Denver Nuggets,Jamal Murray,1.06,1.21,1.62,2.74,6.23,1.03,1.17,1.64,3.24,9.95,1.46,2.33,5.01,0,0,0,0,1.03,1.13,1.5,2.68,7.14,0
Denver Nuggets,Kentavious Caldwell-Pope,1.98,7.44,0,0,0,1.1,1.6,4.07,0,0,2.54,0,0,0,0,0,0,1.26,2.92,0,0,0,0
Denver Nuggets,Michael Porter Jr.,1.22,1.71,3.17,8.36,0,1.06,1.2,1.59,2.62,5.71,1.06,1.27,1.95,4.35,0,0,0,1.63,8.19,0,0,0,0
Denver Nuggets,Aaron Gordon,1.28,2.3,7.56,0,0,1.37,5.89,0,0,0,1.16,1.48,2.34,4.84,0,0,0,1.12,1.71,4.85,0,0,0
Denver Nuggets,Nikola Jokic,1.02,1.07,1.22,1.61,2.58,1.1,1.62,4.25,0,0,1.01,1.03,1.08,1.23,1.57,2.36,4.27,1.03,1.09,1.23,1.57,2.32,4.16
Los Angeles Lakers,D'Angelo Russell,1.14,1.38,1.96,3.45,7.75,1.06,1.15,1.35,1.78,2.69,2.03,7.76,0,0,0,0,0,1.04,1.18,1.62,3.01,8.25,0
Los Angeles Lakers,Austin Reaves,1.08,1.57,4.31,0,0,1.07,1.32,2.26,6.16,0,1.35,2.35,6.5,0,0,0,0,1.05,1.2,1.68,3.16,8.65,0
Los Angeles Lakers,Rui Hachimura,1.4,2.28,5.21,0,0,1.12,1.59,3.68,0,0,1.57,3.37,0,0,0,0,0,1.89,0,0,0,0,0
Los Angeles Lakers,LeBron James,1.01,1.06,1.24,1.83,3.8,1.03,1.21,1.96,5.37,0,1.08,1.33,2.19,5.46,0,0,0,1.0,1.01,1.06,1.29,2.17,5.9
Los Angeles Lakers,Anthony Davis,1.04,1.14,1.39,2.0,3.59,1.45,0,0,0,0,1.01,1.04,1.11,1.27,1.6,2.3,3.86,1.08,1.52,3.9,0,0,0
