Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Denver Nuggets,Jamal Murray,1.06,1.21,1.62,2.72,6.05,1.04,1.18,1.67,3.3,0,1.48,2.36,5.05,0,0,0,0,1.03,1.13,1.48,2.6,6.74,0
Denver Nuggets,Kentavious Caldwell-Pope,2.0,7.42,0,0,0,1.1,1.6,4.02,0,0,2.6,0,0,0,0,0,0,1.27,2.94,0,0,0,0
Denver Nuggets,Michael Porter Jr.,1.22,1.7,3.11,8.04,0,1.06,1.2,1.58,2.58,5.52,1.06,1.26,1.92,4.23,0,0,0,1.67,9.64,0,0,0,0
Denver Nuggets,Aaron Gordon,1.28,2.32,7.51,0,0,1.36,5.56,0,0,0,1.16,1.48,2.31,4.7,0,0,0,1.12,1.73,4.97,0,0,0
Denver Nuggets,Nikola Jokic,1.02,1.06,1.2,1.57,2.5,1.1,1.59,4.13,0,0,1.01,1.03,1.09,1.24,1.59,2.39,4.35,1.03,1.08,1.22,1.54,2.27,4.03
Memphis Grizzlies,Scotty Pippen Jr.,1.26,1.89,3.93,0,0,1.04,1.28,2.36,8.15,0,1.68,6.04,0,0,0,0,0,1.01,1.12,1.63,4.02,0,0
Memphis Grizzlies,Desmond Bane,1.05,1.18,1.52,2.41,4.95,1.03,1.09,1.27,1.68,2.69,1.41,2.37,5.75,0,0,0,0,1.09,1.25,1.64,2.56,4.93,0
Memphis Grizzlies,Luke Kennard,1.49,3.68,0,0,0,1.04,1.15,1.48,2.41,5.31,2.12,0,0,0,0,0,0,1.23,1.85,4.03,0,0,0
Memphis Grizzlies,Jaren Jackson Jr.,1.03,1.16,1.58,2.93,8.07,1.13,1.45,2.34,5.2,0,1.17,1.77,4.29,0,0,0,0,1.21,2.72,0,0,0,0
Memphis Grizzlies,Santi Aldama,1.53,3.13,0,0,0,1.1,1.35,2.03,4.07,0,1.17,1.61,3.08,8.93,0,0,0,1.37,2.85,0,0,0,0
