Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Detroit Pistons,Chimezie Metu,4.13,0,0,0,0,1.45,3.4,0,0,0,1.74,3.36,9.45,0,0,0,0,2.06,0,0,0,0,0
Detroit Pistons,Marcus Sasser,2.06,4.27,0,0,0,1.2,1.69,3.28,9.52,0,5.55,0,0,0,0,0,0,1.18,1.76,4.12,0,0,0
Detroit Pistons,Troy Brown Jr.,7.6,0,0,0,0,1.33,2.27,6.07,0,0,2.56,0,0,0,0,0,0,2.05,0,0,0,0,0
Detroit Pistons,Jaden Ivey,1.25,1.75,3.16,7.8,0,1.22,1.55,2.34,4.32,0,1.73,3.97,0,0,0,0,0,1.11,1.63,4.07,0,0,0
Detroit Pistons,Jalen Duren,1.18,2.11,8.19,0,0,nan,nan,nan,nan,nan,1.03,1.07,1.17,1.38,1.79,2.61,4.37,1.26,2.69,0,0,0,0
San Antonio Spurs,Malaki Branham,2.23,6.58,0,0,0,1.28,2.08,5.24,0,0,3.93,0,0,0,0,0,0,1.31,2.64,0,0,0,0
San Antonio Spurs,Julian Champagnie,3.32,0,0,0,0,1.21,1.66,2.96,7.33,0,2.42,8.83,0,0,0,0,0,1.56,0,0,0,0,0
San Antonio Spurs,Tre Jones,1.63,3.09,8.74,0,0,1.28,2.0,4.57,0,0,1.55,3.35,0,0,0,0,0,1.01,1.08,1.4,2.72,9.27,0
San Antonio Spurs,Cedi Osman,2.51,8.65,0,0,0,1.12,1.52,2.98,9.65,0,3.35,0,0,0,0,0,0,1.55,6.29,0,0,0,0
San Antonio Spurs,Victor Wembanyama,1.03,1.13,1.44,2.33,5.2,1.09,1.32,1.97,3.95,0,1.01,1.04,1.13,1.34,1.8,2.87,5.6,1.06,1.42,3.37,0,0,0
