Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Golden State Warriors,Stephen Curry,1.06,1.15,1.35,1.77,2.64,1.03,1.08,1.16,1.33,1.63,1.35,2.36,6.66,0,0,0,0,1.04,1.19,1.72,3.59,0,0
Golden State Warriors,Brandin Podziemski,1.95,5.56,0,0,0,1.26,2.09,5.59,0,0,1.2,1.67,3.16,8.73,0,0,0,1.17,1.62,3.17,9.54,0,0
Golden State Warriors,Andrew Wiggins,1.29,2.03,4.65,0,0,1.12,1.61,3.74,0,0,1.21,2.05,6.23,0,0,0,0,1.66,4.35,0,0,0,0
Golden State Warriors,Trayce Jackson-Davis,2.58,0,0,0,0,nan,nan,nan,nan,nan,1.47,2.22,4.23,0,0,0,0,1.81,0,0,0,0,0
Golden State Warriors,Jonathan Kuminga,1.18,1.57,2.7,6.42,0,1.25,2.27,7.72,0,0,1.39,2.27,5.24,0,0,0,0,1.43,4.38,0,0,0,0
Portland Trail Blazers,Scoot Henderson,1.31,1.91,3.62,9.41,0,1.18,1.74,3.91,0,0,1.97,6.35,0,0,0,0,0,1.1,1.28,1.71,2.77,5.63,0
Portland Trail Blazers,Rayan Rupert,0,0,0,0,0,1.41,3.15,0,0,0,3.48,0,0,0,0,0,0,1.42,4.3,0,0,0,0
Portland Trail Blazers,Kris Murray,2.82,9.52,0,0,0,1.2,1.91,4.92,0,0,1.58,2.88,7.72,0,0,0,0,1.57,5.21,0,0,0,0
Portland Trail Blazers,Jabari Walker,1.95,5.3,0,0,0,1.27,3.2,0,0,0,1.14,1.46,2.37,5.23,0,0,0,2.15,0,0,0,0,0
Portland Trail Blazers,Deandre Ayton,1.2,1.54,2.39,4.71,0,1.72,0,0,0,0,1.02,1.06,1.16,1.35,1.74,2.54,4.28,1.47,0,0,0,0,0
