Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Golden State Warriors,Stephen Curry,1.06,1.15,1.35,1.77,2.67,1.03,1.07,1.16,1.32,1.62,1.33,2.3,6.36,0,0,0,0,1.04,1.18,1.69,3.48,0,0
Golden State Warriors,Brandin Podziemski,1.95,5.68,0,0,0,1.27,2.13,5.85,0,0,1.21,1.71,3.27,9.2,0,0,0,1.16,1.62,3.18,9.79,0,0
Golden State Warriors,Andrew Wiggins,1.28,2.02,4.69,0,0,1.12,1.57,3.49,0,0,1.21,2.05,6.38,0,0,0,0,1.67,4.47,0,0,0,0
Golden State Warriors,Chris Paul,2.1,7.98,0,0,0,1.15,1.8,4.98,0,0,1.49,3.62,0,0,0,0,0,1.06,1.2,1.61,2.76,6.38,0
Golden State Warriors,Jonathan Kuminga,1.17,1.55,2.68,6.46,0,1.24,2.25,7.8,0,0,1.38,2.24,5.21,0,0,0,0,1.44,4.5,0,0,0,0
Sacramento Kings,De'Aaron Fox,1.02,1.09,1.29,1.82,3.25,1.05,1.19,1.65,3.08,8.38,1.26,2.34,8.43,0,0,0,0,1.03,1.14,1.47,2.39,5.32,0
Sacramento Kings,Keon Ellis,3.22,0,0,0,0,1.22,1.71,3.22,8.68,0,2.29,6.49,0,0,0,0,0,1.53,5.59,0,0,0,0
Sacramento Kings,Harrison Barnes,1.48,2.61,6.84,0,0,1.16,1.46,2.24,4.39,0,1.76,6.41,0,0,0,0,0,1.57,0,0,0,0,0
Sacramento Kings,Keegan Murray,1.18,1.51,2.33,4.58,0,1.11,1.25,1.54,2.12,3.33,1.2,1.65,2.95,7.39,0,0,0,1.48,6.21,0,0,0,0
Sacramento Kings,Domantas Sabonis,1.03,1.19,1.87,4.79,0,1.32,6.29,0,0,0,1.0,1.01,1.05,1.14,1.33,1.76,2.7,1.0,1.02,1.12,1.46,2.56,6.66
