Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Houston Rockets,Fred VanVleet,1.14,1.48,2.5,5.97,0,1.03,1.13,1.4,2.13,4.24,1.58,3.43,0,0,0,0,0,1.03,1.1,1.26,1.61,2.39,4.25
Houston Rockets,Jalen Green,1.16,1.39,1.89,3.03,5.87,1.13,1.32,1.75,2.74,5.16,1.26,1.82,3.49,9.5,0,0,0,1.14,1.55,2.96,8.89,0,0
Houston Rockets,Dillon Brooks,1.35,2.16,4.89,0,0,1.1,1.35,2.11,4.51,0,1.87,4.64,0,0,0,0,0,1.44,8.31,0,0,0,0
Houston Rockets,Jabari Smith Jr.,1.28,2.47,9.61,0,0,1.08,1.48,3.3,0,0,1.05,1.17,1.49,2.31,4.59,0,0,1.56,0,0,0,0,0
Houston Rockets,Amen Thompson,1.77,3.47,9.94,0,0,1.48,0,0,0,0,1.28,1.61,2.29,3.78,7.38,0,0,1.26,2.44,0,0,0,0
Utah Jazz,Johnny Juzang,2.62,6.9,0,0,0,1.26,1.7,2.81,5.95,0,2.6,0,0,0,0,0,0,1.73,0,0,0,0,0
Utah Jazz,Brice Sensabaugh,3.07,9.95,0,0,0,1.36,2.13,4.64,0,0,1.95,3.64,9.16,0,0,0,0,1.5,5.18,0,0,0,0
Utah Jazz,Keyonte George,1.44,2.32,5.11,0,0,1.16,1.42,2.0,3.4,7.18,2.06,6.34,0,0,0,0,0,1.08,1.39,2.59,8.13,0,0
Utah Jazz,Taylor Hendricks,3.53,0,0,0,0,1.15,1.8,5.04,0,0,1.49,2.33,4.69,0,0,0,0,3.52,0,0,0,0,0
Utah Jazz,Omer Yurtseven,5.11,0,0,0,0,1.55,0,0,0,0,1.7,2.59,4.75,0,0,0,0,2.72,0,0,0,0,0
