Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Indiana Pacers,Tyrese Haliburton,1.08,1.25,1.67,2.77,5.91,1.07,1.17,1.38,1.82,2.72,1.36,2.67,9.81,0,0,0,0,1.01,1.03,1.08,1.21,1.48,2.06
Indiana Pacers,Andrew Nembhard,2.07,7.34,0,0,0,1.21,2.39,0,0,0,4.23,0,0,0,0,0,0,1.09,1.44,2.77,8.96,0,0
Indiana Pacers,Aaron Nesmith,1.39,2.57,7.95,0,0,1.07,1.28,1.94,4.14,0,1.54,3.07,0,0,0,0,0,1.58,6.9,0,0,0,0
Indiana Pacers,Pascal Siakam,1.03,1.16,1.56,2.84,7.61,1.22,2.12,6.91,0,0,1.11,1.37,2.08,4.2,0,0,0,1.08,1.4,2.57,7.75,0,0
Indiana Pacers,Myles Turner,1.11,1.52,3.08,0,0,1.2,1.65,3.01,7.82,0,1.13,1.47,2.55,6.37,0,0,0,1.72,9.77,0,0,0,0
Milwaukee Bucks,Damian Lillard,1.03,1.1,1.29,1.77,2.99,1.02,1.08,1.28,1.89,3.78,1.23,2.63,0,0,0,0,0,1.02,1.11,1.38,2.17,4.66,0
Milwaukee Bucks,Malik Beasley,1.64,3.55,0,0,0,1.07,1.22,1.56,2.38,4.49,1.43,3.74,0,0,0,0,0,1.5,8.19,0,0,0,0
Milwaukee Bucks,Khris Middleton,1.23,1.89,4.38,0,0,1.04,1.31,2.72,0,0,1.31,1.96,3.94,0,0,0,0,1.03,1.15,1.65,3.52,0,0
Milwaukee Bucks,Giannis Antetokounmpo,1.02,1.07,1.19,1.48,2.15,1.39,6.25,0,0,0,1.01,1.05,1.13,1.32,1.74,2.67,4.9,1.06,1.19,1.53,2.41,4.88,0
Milwaukee Bucks,Brook Lopez,1.33,2.17,5.3,0,0,1.09,1.3,1.88,3.59,9.5,1.19,1.78,4.11,0,0,0,0,1.49,5.01,0,0,0,0
