Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Los Angeles Lakers,D'Angelo Russell,1.22,1.59,2.51,5.04,0,1.1,1.26,1.6,2.35,4.07,1.82,5.55,0,0,0,0,0,1.03,1.13,1.39,2.07,3.95,0
Los Angeles Lakers,Austin Reaves,1.17,1.6,3.01,8.42,0,1.15,1.41,2.08,3.83,9.21,1.6,2.61,5.48,0,0,0,0,1.07,1.26,1.84,3.67,0,0
Los Angeles Lakers,Rui Hachimura,1.31,1.95,3.89,0,0,1.19,1.57,2.64,5.98,0,1.35,2.09,4.44,0,0,0,0,1.67,0,0,0,0,0
Los Angeles Lakers,Taurean Prince,1.75,5.49,0,0,0,1.08,1.31,2.0,4.22,0,2.12,8.24,0,0,0,0,0,1.5,5.51,0,0,0,0
Los Angeles Lakers,Anthony Davis,1.01,1.07,1.24,1.73,3.13,1.36,3.64,0,0,0,1.0,1.01,1.04,1.13,1.38,1.99,3.55,1.25,1.89,4.05,0,0,0
New Orleans Pelicans,CJ McCollum,1.09,1.3,1.84,3.32,8.05,1.04,1.13,1.32,1.74,2.69,1.28,2.61,0,0,0,0,0,1.05,1.26,2.14,6.1,0,0
New Orleans Pelicans,Herbert Jones,1.5,3.24,0,0,0,1.16,1.6,3.04,8.81,0,1.63,4.22,0,0,0,0,0,1.21,2.29,9.5,0,0,0
New Orleans Pelicans,Trey Murphy III,1.36,2.52,8.0,0,0,1.04,1.17,1.56,2.7,6.5,1.23,1.83,3.88,0,0,0,0,1.33,4.29,0,0,0,0
New Orleans Pelicans,Brandon Ingram,1.04,1.17,1.55,2.64,6.16,1.23,1.54,2.25,3.92,8.36,1.17,1.92,5.82,0,0,0,0,1.03,1.15,1.61,3.24,0,0
New Orleans Pelicans,Jonas Valanciunas,1.4,2.34,5.78,0,0,1.4,5.03,0,0,0,1.05,1.16,1.42,2.05,3.6,8.03,0,1.37,3.05,0,0,0,0
