Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Milwaukee Bucks,Damian Lillard,1.04,1.13,1.41,2.15,4.23,1.03,1.11,1.36,2.0,3.79,1.38,2.72,9.75,0,0,0,0,1.01,1.05,1.22,1.79,3.7,0
Milwaukee Bucks,Malik Beasley,1.52,2.6,6.29,0,0,1.07,1.19,1.43,1.92,2.98,1.68,4.28,0,0,0,0,0,1.71,0,0,0,0,0
Milwaukee Bucks,Khris Middleton,1.18,1.7,3.49,0,0,1.05,1.31,2.36,7.36,0,1.4,2.65,8.56,0,0,0,0,1.07,1.3,2.0,4.37,0,0
Milwaukee Bucks,Giannis Antetokounmpo,1.0,1.01,1.05,1.17,1.47,1.26,3.72,0,0,0,1.01,1.04,1.13,1.35,1.88,3.17,6.72,1.02,1.11,1.37,2.14,4.56,0
Milwaukee Bucks,Brook Lopez,1.5,3.11,0,0,0,1.17,1.53,2.53,5.71,0,1.28,1.94,4.14,0,0,0,0,1.5,7.25,0,0,0,0
Oklahoma City Thunder,Shai Gilgeous-Alexander,1.0,1.0,1.03,1.15,1.55,1.13,1.56,3.21,0,0,1.07,1.46,3.3,0,0,0,0,1.01,1.06,1.3,2.26,6.46,0
Oklahoma City Thunder,Josh Giddey,1.3,2.17,5.61,0,0,1.23,2.04,5.71,0,0,1.07,1.3,2.09,5.01,0,0,0,1.05,1.29,2.2,6.19,0,0
Oklahoma City Thunder,Jalen Williams,1.08,1.33,2.15,5.05,0,1.13,1.55,3.06,9.68,0,1.42,3.04,0,0,0,0,0,1.07,1.4,2.8,0,0,0
Oklahoma City Thunder,Luguentz Dort,1.49,2.77,8.16,0,0,1.08,1.27,1.82,3.41,8.94,1.64,3.58,0,0,0,0,0,1.58,9.41,0,0,0,0
Oklahoma City Thunder,Chet Holmgren,1.14,1.52,2.72,7.21,0,1.11,1.45,2.62,7.22,0,1.07,1.25,1.72,3.02,7.15,0,0,1.22,2.72,0,0,0,0
