Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
New Orleans Pelicans,CJ McCollum,1.07,1.27,1.88,3.76,0,1.03,1.08,1.24,1.6,2.45,1.39,2.9,0,0,0,0,0,1.04,1.31,2.81,0,0,0
New Orleans Pelicans,Herbert Jones,1.53,4.12,0,0,0,1.13,1.49,2.67,7.11,0,1.71,3.86,0,0,0,0,0,1.19,3.04,0,0,0,0
New Orleans Pelicans,Trey Murphy III,1.22,1.64,2.77,6.15,0,1.08,1.19,1.42,1.88,2.81,1.35,2.5,7.99,0,0,0,0,1.32,2.78,0,0,0,0
New Orleans Pelicans,Zion Williamson,1.02,1.11,1.4,2.28,5.23,1.68,0,0,0,0,1.13,1.47,2.53,6.32,0,0,0,1.04,1.26,2.12,6.01,0,0
New Orleans Pelicans,Jonas Valanciunas,1.49,2.84,8.73,0,0,1.32,3.83,0,0,0,1.05,1.16,1.44,2.12,3.88,9.15,0,1.35,3.44,0,0,0,0
Sacramento Kings,De'Aaron Fox,1.03,1.1,1.31,1.85,3.26,1.05,1.21,1.68,3.1,8.1,1.26,2.27,7.76,0,0,0,0,1.04,1.14,1.46,2.33,5.03,0
Sacramento Kings,Kevin Huerter,1.71,2.91,6.56,0,0,1.16,1.41,1.95,3.22,6.51,1.79,4.19,0,0,0,0,0,1.19,2.71,0,0,0,0
Sacramento Kings,Harrison Barnes,1.53,2.77,7.5,0,0,1.17,1.47,2.22,4.21,0,1.88,7.81,0,0,0,0,0,1.68,0,0,0,0,0
Sacramento Kings,Keegan Murray,1.19,1.52,2.33,4.47,0,1.12,1.28,1.59,2.2,3.49,1.22,1.66,2.89,6.88,0,0,0,1.44,5.58,0,0,0,0
Sacramento Kings,Domantas Sabonis,1.03,1.21,1.89,4.74,0,1.31,7.55,0,0,0,1.0,1.01,1.05,1.13,1.31,1.7,2.55,1.0,1.02,1.12,1.44,2.49,6.36
