Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
New York Knicks,Donte DiVincenzo,1.31,1.8,3.04,6.51,0,1.05,1.14,1.32,1.68,2.44,1.62,4.59,0,0,0,0,0,1.21,2.74,0,0,0,0
New York Knicks,Josh Hart,2.59,0,0,0,0,1.25,2.27,7.98,0,0,1.18,1.39,1.81,2.68,4.57,9.14,0,1.22,1.66,2.92,7.03,0,0
New York Knicks,Jalen Brunson,1.03,1.09,1.21,1.46,1.96,1.13,1.28,1.58,2.18,3.4,1.55,3.81,0,0,0,0,0,1.02,1.11,1.43,2.52,6.74,0
New York Knicks,OG Anunoby,1.33,2.04,4.31,0,0,1.17,1.46,2.17,4.05,9.77,1.36,2.93,0,0,0,0,0,1.3,4.06,0,0,0,0
New York Knicks,Isaiah Hartenstein,2.45,9.82,0,0,0,1.75,0,0,0,0,1.19,1.39,1.77,2.5,3.96,7.13,0,1.34,2.83,0,0,0,0
Boston Celtics,Jrue Holiday,1.33,3.02,0,0,0,1.08,1.35,2.2,5.28,0,1.26,1.91,4.18,0,0,0,0,1.08,1.38,2.49,7.26,0,0
Boston Celtics,Derrick White,1.24,1.76,3.28,8.65,0,1.06,1.19,1.49,2.22,4.07,1.39,2.9,0,0,0,0,0,1.02,1.13,1.67,4.13,0,0
Boston Celtics,Jaylen Brown,1.02,1.11,1.37,2.14,4.54,1.1,1.3,1.79,3.08,6.85,1.17,1.66,3.36,0,0,0,0,1.1,1.56,3.71,0,0,0
Boston Celtics,Jayson Tatum,1,1.01,1.09,1.44,2.81,1.01,1.07,1.25,1.82,3.61,1.01,1.11,1.54,3.39,0,0,0,1.03,1.23,2.09,6.36,0,0
Boston Celtics,Kristaps Porzingis,1.03,1.17,1.69,3.55,0,1.04,1.2,1.86,4.54,0,1.07,1.25,1.79,3.37,8.94,0,0,1.33,6.4,0,0,0,0
