Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
New York Knicks,Donte DiVincenzo,1.3,1.8,3.04,6.59,0,1.05,1.13,1.31,1.68,2.46,1.6,4.58,0,0,0,0,0,1.2,2.67,0,0,0,0
New York Knicks,Josh Hart,2.47,9.48,0,0,0,1.24,2.27,8.17,0,0,1.17,1.37,1.76,2.54,4.18,7.97,0,1.21,1.65,2.91,7.08,0,0
New York Knicks,Jalen Brunson,1.03,1.08,1.2,1.44,1.93,1.12,1.27,1.55,2.11,3.24,1.57,3.92,0,0,0,0,0,1.02,1.11,1.45,2.57,6.98,0
New York Knicks,OG Anunoby,1.33,2.06,4.45,0,0,1.16,1.45,2.16,4.09,0,1.35,2.9,0,0,0,0,0,1.31,4.25,0,0,0,0
New York Knicks,Isaiah Hartenstein,2.41,9.71,0,0,0,1.74,0,0,0,0,1.18,1.38,1.74,2.43,3.81,6.79,0,1.33,2.65,0,0,0,0
Philadelphia 76ers,Tyrese Maxey,1.01,1.04,1.17,1.6,2.98,1.02,1.08,1.28,1.8,3.25,1.58,3.15,0,0,0,0,0,1.01,1.08,1.41,2.7,8.94,0
Philadelphia 76ers,Kyle Lowry,2.31,6.08,0,0,0,1.13,1.53,2.98,9.39,0,1.78,6.99,0,0,0,0,0,1.11,1.49,2.86,9.0,0,0
Philadelphia 76ers,Tobias Harris,1.19,1.57,2.63,5.92,0,1.22,1.7,3.1,7.98,0,1.07,1.34,2.29,6.11,0,0,0,1.09,1.76,6.73,0,0,0
Philadelphia 76ers,Kelly Oubre Jr.,1.24,1.82,3.73,0,0,1.14,1.6,3.34,0,0,1.29,1.97,4.22,0,0,0,0,2.09,0,0,0,0,0
Philadelphia 76ers,Mo Bamba,0,0,0,0,0,1.47,9.49,0,0,0,1.66,3.06,8.08,0,0,0,0,2.81,0,0,0,0,0
