Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Orlando Magic,Cole Anthony,1.5,3.05,0,0,0,1.16,1.92,6.21,0,0,1.67,3.49,0,0,0,0,0,1.25,2.01,5.16,0,0,0
Orlando Magic,Jalen Suggs,1.57,2.9,8.09,0,0,1.15,1.42,2.05,3.65,8.31,1.91,6.06,0,0,0,0,0,1.25,2.92,0,0,0,0
Orlando Magic,Moritz Wagner,1.59,3.47,0,0,0,1.27,4.48,0,0,0,1.43,2.85,0,0,0,0,0,1.66,0,0,0,0,0
Orlando Magic,Paolo Banchero,1.03,1.12,1.38,2.06,3.98,1.17,1.59,2.92,7.89,0,1.07,1.29,1.99,4.33,0,0,0,1.04,1.21,1.85,4.27,0,0
Orlando Magic,Wendell Carter Jr.,1.48,3.56,0,0,0,1.08,1.45,3.08,0,0,1.13,1.42,2.22,4.63,0,0,0,1.28,9.56,0,0,0,0
Cleveland Cavaliers,Darius Garland,1.09,1.33,2.1,4.67,0,1.07,1.23,1.67,2.84,6.42,3.33,0,0,0,0,0,0,1.01,1.07,1.31,2.05,4.63,0
Cleveland Cavaliers,Donovan Mitchell,1.01,1.04,1.14,1.36,1.89,1.03,1.11,1.29,1.72,2.72,1.32,2.07,4.65,0,0,0,0,1.01,1.06,1.32,2.3,6.57,0
Cleveland Cavaliers,Max Strus,1.46,2.7,8.02,0,0,1.09,1.26,1.65,2.57,4.91,1.32,2.23,5.88,0,0,0,0,1.1,1.51,3.26,0,0,0
Cleveland Cavaliers,Evan Mobley,1.2,1.92,5.23,0,0,1.44,7.58,0,0,0,1.04,1.11,1.28,1.65,2.49,4.5,9.99,1.14,1.64,3.71,0,0,0
Cleveland Cavaliers,Jarrett Allen,1.12,1.47,2.63,7.15,0,nan,nan,nan,nan,nan,1.02,1.08,1.2,1.49,2.1,3.52,7.13,1.11,2.15,0,0,0,0
