Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Philadelphia 76ers,Tyrese Maxey,1.06,1.16,1.36,1.77,2.63,1.07,1.2,1.5,2.16,3.77,1.71,3.64,0,0,0,0,0,1.04,1.16,1.53,2.64,6.45,0
Philadelphia 76ers,Kyle Lowry,2.22,5.64,0,0,0,1.15,1.46,2.28,4.68,0,1.87,4.52,0,0,0,0,0,1.07,1.38,2.62,8.64,0,0
Philadelphia 76ers,Tobias Harris,1.12,1.43,2.33,5.32,0,1.18,1.71,3.69,0,0,1.11,1.44,2.51,6.51,0,0,0,1.18,2.08,7.51,0,0,0
Philadelphia 76ers,Kelly Oubre Jr.,1.23,1.66,2.83,6.43,0,1.2,1.56,2.49,5.08,0,1.22,2.02,5.84,0,0,0,0,1.37,3.52,0,0,0,0
Philadelphia 76ers,Mo Bamba,4.24,0,0,0,0,1.29,3.03,0,0,0,1.34,2.24,5.7,0,0,0,0,2.39,0,0,0,0,0
New York Knicks,Donte DiVincenzo,1.3,1.73,2.72,5.21,0,1.06,1.15,1.34,1.7,2.44,1.53,3.88,0,0,0,0,0,1.17,2.17,9.71,0,0,0
New York Knicks,Josh Hart,1.6,3.11,9.29,0,0,1.18,1.84,4.77,0,0,1.06,1.17,1.44,2.04,3.49,7.35,0,1.14,1.47,2.4,5.4,0,0
New York Knicks,Jalen Brunson,1.02,1.07,1.2,1.51,2.21,1.05,1.19,1.54,2.46,5.13,1.63,5.1,0,0,0,0,0,1.02,1.09,1.3,1.88,3.58,9.49
New York Knicks,OG Anunoby,1.15,1.65,3.58,0,0,1.05,1.22,1.75,3.47,0,1.46,2.94,0,0,0,0,0,1.26,3.1,0,0,0,0
New York Knicks,Isaiah Hartenstein,2.72,0,0,0,0,nan,nan,nan,nan,nan,1.1,1.24,1.52,2.08,3.27,5.97,0,1.22,2.36,0,0,0,0
