Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Phoenix Suns,Bradley Beal,1.17,1.46,2.17,4.03,9.72,1.13,1.36,1.9,3.22,6.9,1.2,2.36,0,0,0,0,0,1.02,1.13,1.6,3.53,0,0
Phoenix Suns,Devin Booker,1.05,1.11,1.24,1.49,1.97,1.15,1.36,1.82,2.85,5.33,1.26,2.16,6.29,0,0,0,0,1.02,1.1,1.39,2.33,5.71,0
Phoenix Suns,Grayson Allen,1.42,2.49,6.71,0,0,1.12,1.3,1.7,2.62,4.88,1.48,3.49,0,0,0,0,0,1.19,2.25,9.91,0,0,0
Phoenix Suns,Kevin Durant,1.02,1.07,1.22,1.62,2.63,1.05,1.2,1.69,3.22,9.01,1.04,1.22,1.86,4.23,0,0,0,1.09,1.32,1.93,3.7,9.81,0
Phoenix Suns,Jusuf Nurkic,1.78,4.04,0,0,0,1.49,0,0,0,0,1.06,1.14,1.3,1.6,2.16,3.27,5.6,1.1,1.45,2.71,8.23,0,0
Los Angeles Clippers,Russell Westbrook,1.45,3.86,0,0,0,1.3,2.66,0,0,0,1.3,1.95,4.0,0,0,0,0,1.1,1.44,2.65,7.85,0,0
Los Angeles Clippers,James Harden,1.09,1.44,2.76,8.88,0,1.05,1.19,1.58,2.68,6.11,1.22,1.98,5.27,0,0,0,0,1.0,1.02,1.09,1.34,2.06,4.39
Los Angeles Clippers,Paul George,1.03,1.14,1.44,2.26,4.73,1.02,1.1,1.35,2.03,4.09,1.16,1.68,3.69,0,0,0,0,1.13,1.58,3.33,0,0,0
Los Angeles Clippers,Kawhi Leonard,1.04,1.16,1.53,2.61,6.14,1.09,1.37,2.26,5.41,0,1.12,1.54,3.22,0,0,0,0,1.06,1.43,3.34,0,0,0
Los Angeles Clippers,Ivica Zubac,1.27,2.65,0,0,0,nan,nan,nan,nan,nan,1.02,1.09,1.28,1.76,2.99,6.61,0,1.58,0,0,0,0,0
