Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Phoenix Suns,Bradley Beal,1.16,1.44,2.16,4.06,0,1.13,1.37,1.93,3.33,7.31,1.2,2.14,7.76,0,0,0,0,1.02,1.13,1.63,3.69,0,0
Phoenix Suns,Devin Booker,1.05,1.11,1.24,1.5,2.0,1.15,1.36,1.83,2.88,5.47,1.26,2.18,6.51,0,0,0,0,1.02,1.1,1.39,2.35,5.9,0
Phoenix Suns,Grayson Allen,1.4,2.43,6.43,0,0,1.11,1.29,1.68,2.57,4.76,1.49,3.58,0,0,0,0,0,1.18,2.22,9.77,0,0,0
Phoenix Suns,Kevin Durant,1.02,1.07,1.21,1.61,2.63,1.04,1.19,1.67,3.19,8.98,1.05,1.23,1.89,4.37,0,0,0,1.1,1.32,1.96,3.81,0,0
Phoenix Suns,Jusuf Nurkic,1.77,4.09,0,0,0,1.48,0,0,0,0,1.06,1.14,1.3,1.6,2.17,3.31,5.73,1.1,1.45,2.75,8.59,0,0
Minnesota Timberwolves,Mike Conley,1.53,3.56,0,0,0,1.04,1.18,1.67,3.33,0,2.25,0,0,0,0,0,0,1.01,1.09,1.42,2.65,8.09,0
Minnesota Timberwolves,Anthony Edwards,1.05,1.14,1.35,1.8,2.79,1.11,1.3,1.75,2.82,5.67,1.24,1.79,3.51,0,0,0,0,1.03,1.2,2.0,5.96,0,0
Minnesota Timberwolves,Jaden McDaniels,1.68,3.72,0,0,0,1.16,1.57,2.9,7.99,0,1.93,5.43,0,0,0,0,0,1.5,7.63,0,0,0,0
Minnesota Timberwolves,Naz Reid,1.26,2.03,5.03,0,0,1.08,1.28,1.83,3.42,8.86,1.27,1.92,4.04,0,0,0,0,1.68,0,0,0,0,0
Minnesota Timberwolves,Rudy Gobert,1.17,1.88,5.38,0,0,nan,nan,nan,nan,nan,1.0,1.02,1.05,1.15,1.36,1.83,2.86,1.71,0,0,0,0,0
