Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Portland Trail Blazers,Scoot Henderson,1.32,2.31,6.71,0,0,1.12,1.57,3.42,0,0,1.89,5.51,0,0,0,0,0,1.08,1.32,2.05,4.5,0,0
Portland Trail Blazers,Rayan Rupert,9.76,0,0,0,0,1.32,2.37,7.17,0,0,2.58,8.24,0,0,0,0,0,1.78,0,0,0,0,0
Portland Trail Blazers,Kris Murray,5.21,0,0,0,0,1.37,3.49,0,0,0,2.22,7.11,0,0,0,0,0,1.96,0,0,0,0,0
Portland Trail Blazers,Jabari Walker,2.23,7.44,0,0,0,1.35,4.24,0,0,0,1.2,1.42,1.85,2.71,4.53,8.79,0,1.91,0,0,0,0,0
Portland Trail Blazers,Deandre Ayton,1.2,1.62,2.79,6.6,0,nan,nan,nan,nan,nan,1.04,1.11,1.25,1.54,2.14,3.39,6.29,1.27,6.41,0,0,0,0
Sacramento Kings,De'Aaron Fox,1.02,1.09,1.29,1.82,3.21,1.05,1.19,1.65,3.04,8.07,1.24,2.27,8.12,0,0,0,0,1.03,1.13,1.44,2.32,5.1,0
Sacramento Kings,Kevin Huerter,1.71,2.91,6.56,0,0,1.16,1.41,1.95,3.22,6.51,1.79,4.19,0,0,0,0,0,1.19,2.71,0,0,0,0
Sacramento Kings,Harrison Barnes,1.5,2.66,6.97,0,0,1.16,1.47,2.24,4.34,0,1.79,6.65,0,0,0,0,0,1.59,0,0,0,0,0
Sacramento Kings,Keegan Murray,1.18,1.5,2.29,4.44,0,1.11,1.25,1.54,2.1,3.28,1.21,1.64,2.91,7.15,0,0,0,1.47,5.98,0,0,0,0
Sacramento Kings,Domantas Sabonis,1.03,1.2,1.86,4.7,0,1.32,6.08,0,0,0,1.0,1.01,1.05,1.13,1.33,1.74,2.65,1.0,1.03,1.13,1.47,2.57,6.61
