Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Sacramento Kings,De'Aaron Fox,1.01,1.06,1.17,1.46,2.15,1.05,1.13,1.32,1.71,2.55,1.32,2.37,7.42,0,0,0,0,1.04,1.26,2.1,5.88,0,0
Sacramento Kings,Keon Ellis,4.09,0,0,0,0,1.36,1.88,3.11,6.39,0,4.72,0,0,0,0,0,0,1.74,4.98,0,0,0,0
Sacramento Kings,Harrison Barnes,1.52,2.38,4.8,0,0,1.18,1.47,2.14,3.81,8.51,2.2,8.0,0,0,0,0,0,2.0,0,0,0,0,0
Sacramento Kings,Keegan Murray,1.4,2.25,5.03,0,0,1.14,1.41,2.08,3.88,9.51,1.24,1.92,4.45,0,0,0,0,1.38,7.08,0,0,0,0
Sacramento Kings,Domantas Sabonis,1.08,1.29,1.92,3.89,0,1.34,6.71,0,0,0,1.0,1.01,1.05,1.13,1.33,1.77,2.76,1.02,1.06,1.21,1.57,2.5,5.1
New Orleans Pelicans,CJ McCollum,1.09,1.3,1.84,3.32,8.05,1.04,1.13,1.32,1.74,2.69,1.28,2.61,0,0,0,0,0,1.05,1.26,2.14,6.1,0,0
New Orleans Pelicans,Herbert Jones,1.5,3.24,0,0,0,1.16,1.6,3.04,8.81,0,1.63,4.22,0,0,0,0,0,1.21,2.29,9.5,0,0,0
New Orleans Pelicans,Trey Murphy III,1.36,2.52,8.0,0,0,1.04,1.17,1.56,2.7,6.5,1.23,1.83,3.88,0,0,0,0,1.33,4.29,0,0,0,0
New Orleans Pelicans,Brandon Ingram,1.04,1.17,1.55,2.64,6.16,1.23,1.54,2.25,3.92,8.36,1.17,1.92,5.82,0,0,0,0,1.03,1.15,1.61,3.24,0,0
New Orleans Pelicans,Jonas Valanciunas,1.4,2.34,5.78,0,0,1.4,5.03,0,0,0,1.05,1.16,1.42,2.05,3.6,8.03,0,1.37,3.05,0,0,0,0
