Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Toronto Raptors,Immanuel Quickley,1.12,1.46,2.53,6.45,0,1.06,1.22,1.64,2.77,6.25,1.72,3.44,0,0,0,0,0,1.22,1.52,2.21,3.84,8.19,0
Toronto Raptors,Gary Trent Jr.,1.38,2.04,3.87,9.87,0,1.09,1.24,1.59,2.4,4.41,2.44,0,0,0,0,0,0,1.66,0,0,0,0,0
Toronto Raptors,Gradey Dick,2.14,4.39,0,0,0,1.23,1.62,2.62,5.43,0,2.43,7.49,0,0,0,0,0,1.68,6.26,0,0,0,0
Toronto Raptors,RJ Barrett,1.06,1.27,1.95,4.3,0,1.1,1.41,2.43,6.22,0,1.18,1.87,5.15,0,0,0,0,1.14,1.75,4.79,0,0,0
Toronto Raptors,Kelly Olynyk,2.03,4.93,0,0,0,1.26,2.36,8.9,0,0,1.25,2.13,6.36,0,0,0,0,1.14,1.46,2.4,5.41,0,0
Miami Heat,Terry Rozier,1.14,1.4,2.07,3.88,9.62,1.2,1.41,1.79,2.51,3.95,1.46,3.63,0,0,0,0,0,1.07,1.25,1.73,3.07,7.37,0
Miami Heat,Tyler Herro,1.01,1.06,1.42,3.18,0,1.02,1.08,1.24,1.64,2.64,1.15,1.78,4.76,0,0,0,0,1.04,1.26,2.34,8.43,0,0
Miami Heat,Jimmy Butler,1.05,1.18,1.56,2.63,6.05,1.17,2.0,6.87,0,0,1.17,1.65,3.35,0,0,0,0,1.05,1.25,1.98,4.89,0,0
Miami Heat,Nikola Jovic,3.71,0,0,0,0,1.07,1.71,6.87,0,0,1.66,3.63,0,0,0,0,0,1.26,2.37,8.85,0,0,0
Miami Heat,Bam Adebayo,1.04,1.24,2.14,6.52,0,1.49,0,0,0,0,1.03,1.1,1.26,1.62,2.43,4.38,9.73,1.1,1.49,3.02,0,0,0
