Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Utah Jazz,Johnny Juzang,2.47,5.0,0,0,0,1.28,1.6,2.25,3.65,6.95,4.84,0,0,0,0,0,0,2.0,0,0,0,0,0
Utah Jazz,Brice Sensabaugh,2.25,5.33,0,0,0,1.35,2.0,3.88,0,0,1.95,4.92,0,0,0,0,0,1.45,4.08,0,0,0,0
Utah Jazz,Keyonte George,1.44,2.27,4.8,0,0,1.14,1.43,2.19,4.36,0,2.29,9.55,0,0,0,0,0,1.11,1.41,2.33,5.54,0,0
Utah Jazz,Taylor Hendricks,2.3,0,0,0,0,1.07,1.43,3.12,0,0,1.41,2.16,4.32,0,0,0,0,2.97,0,0,0,0,0
Utah Jazz,Omer Yurtseven,6.57,0,0,0,0,1.61,0,0,0,0,1.54,2.55,5.72,0,0,0,0,3.42,0,0,0,0,0
Golden State Warriors,Stephen Curry,1.02,1.07,1.21,1.55,2.38,1.01,1.04,1.1,1.23,1.51,1.42,2.58,7.55,0,0,0,0,1.05,1.3,2.29,6.89,0,0
Golden State Warriors,Brandin Podziemski,1.92,4.8,0,0,0,1.11,1.51,2.98,9.82,0,1.15,1.58,3.12,9.8,0,0,0,1.1,1.59,3.95,0,0,0
Golden State Warriors,Andrew Wiggins,1.42,2.49,6.7,0,0,1.2,1.8,4.07,0,0,1.43,2.89,0,0,0,0,0,1.38,5.2,0,0,0,0
Golden State Warriors,Trayce Jackson-Davis,2.23,5.84,0,0,0,nan,nan,nan,nan,nan,1.37,1.82,2.77,4.98,0,0,0,1.79,0,0,0,0,0
Golden State Warriors,Jonathan Kuminga,1.15,1.61,3.23,0,0,1.28,3.22,0,0,0,1.26,1.95,4.43,0,0,0,0,1.19,2.83,0,0,0,0
