Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Atlanta Hawks,Trae Young,1.03,1.1,1.26,1.61,2.36,1.04,1.11,1.27,1.63,2.4,1.82,0,0,0,0,0,0,1.0,1.0,1.01,1.06,1.28,2.03
Atlanta Hawks,Dejounte Murray,1.06,1.2,1.55,2.43,4.85,1.07,1.22,1.57,2.41,4.59,1.26,2.07,5.39,0,0,0,0,1.05,1.2,1.6,2.73,6.3,0
Atlanta Hawks,De'Andre Hunter,1.2,1.84,4.39,0,0,1.06,1.28,2.0,4.56,0,2.26,9.69,0,0,0,0,0,1.55,0,0,0,0,0
Atlanta Hawks,Bogdan Bogdanovic,1.06,1.51,4.44,0,0,1.01,1.07,1.32,2.18,5.41,1.58,3.99,0,0,0,0,0,1.19,2.12,7.88,0,0,0
Atlanta Hawks,Clint Capela,1.34,3.78,0,0,0,nan,nan,nan,nan,nan,1.0,1.02,1.09,1.32,2.0,4.11,0,1.58,8.73,0,0,0,0
Chicago Bulls,Coby White,1.1,1.37,2.2,4.95,0,1.11,1.27,1.65,2.47,4.45,1.33,2.3,6.5,0,0,0,0,1.05,1.25,1.93,4.41,0,0
Chicago Bulls,Alex Caruso,1.55,4.8,0,0,0,1.04,1.22,1.96,5.19,0,1.51,2.85,8.52,0,0,0,0,1.1,1.76,6.23,0,0,0
Chicago Bulls,Ayo Dosunmu,1.51,2.58,6.18,0,0,1.15,1.55,2.86,7.97,0,1.86,4.89,0,0,0,0,0,1.22,1.84,4.19,0,0,0
Chicago Bulls,DeMar DeRozan,1.01,1.07,1.3,2.08,4.93,1.16,2.16,0,0,0,1.35,2.91,0,0,0,0,0,1.03,1.17,1.8,4.52,0,0
Chicago Bulls,Nikola Vucevic,1.1,1.42,2.5,6.67,0,1.12,1.8,5.94,0,0,1.02,1.08,1.24,1.65,2.71,5.7,0,1.09,1.92,0,0,0,0
