Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Atlanta Hawks,Trae Young,1.02,1.07,1.2,1.5,2.15,1.03,1.09,1.24,1.56,2.24,1.78,9.06,0,0,0,0,0,1.0,1.0,1.01,1.05,1.25,1.94
Atlanta Hawks,Dejounte Murray,1.06,1.19,1.54,2.43,4.91,1.07,1.21,1.55,2.38,4.54,1.26,2.03,5.11,0,0,0,0,1.05,1.18,1.56,2.6,5.82,0
Atlanta Hawks,De'Andre Hunter,1.18,1.77,4.14,0,0,1.06,1.25,1.92,4.28,0,2.2,8.71,0,0,0,0,0,1.54,9.04,0,0,0,0
Atlanta Hawks,Bogdan Bogdanovic,1.07,1.53,4.46,0,0,1.01,1.08,1.32,2.15,5.15,1.57,3.86,0,0,0,0,0,1.18,2.04,7.23,0,0,0
Atlanta Hawks,Clint Capela,1.35,3.79,0,0,0,nan,nan,nan,nan,nan,1.0,1.02,1.09,1.33,2.0,4.05,0,1.61,9.34,0,0,0,0
Minnesota Timberwolves,Mike Conley,1.54,3.58,0,0,0,1.04,1.19,1.68,3.31,9.96,2.36,0,0,0,0,0,0,1.01,1.09,1.45,2.79,9.09,0
Minnesota Timberwolves,Anthony Edwards,1.05,1.14,1.33,1.76,2.71,1.1,1.28,1.7,2.73,5.47,1.24,1.78,3.43,9.57,0,0,0,1.03,1.2,1.98,5.75,0,0
Minnesota Timberwolves,Jaden McDaniels,1.69,3.7,0,0,0,1.17,1.6,3.02,8.6,0,1.94,5.32,0,0,0,0,0,1.49,7.28,0,0,0,0
Minnesota Timberwolves,Naz Reid,1.28,2.07,5.17,0,0,1.08,1.28,1.83,3.39,8.63,1.26,1.88,3.91,0,0,0,0,1.71,0,0,0,0,0
Minnesota Timberwolves,Rudy Gobert,1.17,1.96,6.26,0,0,nan,nan,nan,nan,nan,1.0,1.02,1.06,1.15,1.38,1.88,3.0,1.67,0,0,0,0,0
