Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Charlotte Hornets,Vasilije Micic,2.77,8.29,0,0,0,1.4,2.54,7.5,0,0,0,0,0,0,0,0,0,1.18,1.68,3.42,0,0,0
Charlotte Hornets,Tre Mann,1.64,4.26,0,0,0,1.08,1.61,4.89,0,0,1.42,3.13,0,0,0,0,0,1.11,1.48,2.88,9.21,0,0
Charlotte Hornets,Brandon Miller,1.16,1.59,2.99,8.51,0,1.09,1.27,1.73,2.89,6.19,1.49,3.22,0,0,0,0,0,1.28,2.96,0,0,0,0
Charlotte Hornets,Miles Bridges,1.03,1.17,1.73,3.94,0,1.05,1.23,1.83,3.95,0,1.09,1.32,1.97,3.95,0,0,0,1.14,2.0,8.4,0,0,0
Charlotte Hornets,Nick Richards,1.63,4.56,0,0,0,nan,nan,nan,nan,nan,1.04,1.14,1.4,2.06,3.83,9.38,0,2.36,0,0,0,0,0
Boston Celtics,Jrue Holiday,1.35,3.13,0,0,0,1.09,1.35,2.23,5.46,0,1.25,1.92,4.26,0,0,0,0,1.09,1.42,2.58,7.56,0,0
Boston Celtics,Derrick White,1.27,1.82,3.41,8.83,0,1.07,1.21,1.54,2.3,4.24,1.4,2.98,0,0,0,0,0,1.02,1.15,1.73,4.29,0,0
Boston Celtics,Jaylen Brown,1.03,1.12,1.4,2.2,4.72,1.1,1.31,1.82,3.18,7.19,1.19,1.72,3.5,0,0,0,0,1.11,1.6,3.86,0,0,0
Boston Celtics,Jayson Tatum,1.0,1.01,1.1,1.48,2.91,1.02,1.08,1.28,1.88,3.75,1.02,1.13,1.6,3.53,0,0,0,1.03,1.22,2.05,6.14,0,0
Boston Celtics,Kristaps Porzingis,1.04,1.19,1.73,3.71,0,1.03,1.2,1.86,4.63,0,1.06,1.24,1.77,3.38,9.17,0,0,1.33,6.68,0,0,0,0
