Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Chicago Bulls,Coby White,1.09,1.29,1.84,3.4,8.52,1.08,1.2,1.49,2.11,3.56,1.31,2.35,7.22,0,0,0,0,1.05,1.23,1.87,4.23,0,0
Chicago Bulls,Alex Caruso,1.87,5.87,0,0,0,1.15,1.46,2.25,4.48,0,1.61,4.64,0,0,0,0,0,1.1,1.73,5.82,0,0,0
Chicago Bulls,Ayo Dosunmu,1.5,2.4,5.1,0,0,1.16,1.5,2.45,5.37,0,2.71,0,0,0,0,0,0,1.21,1.93,4.97,0,0,0
Chicago Bulls,DeMar DeRozan,1.03,1.12,1.37,2.04,3.93,1.24,2.23,7.49,0,0,1.37,2.56,8.18,0,0,0,0,1.03,1.19,1.81,4.2,0,0
Chicago Bulls,Nikola Vucevic,1.08,1.35,2.24,5.61,0,1.09,1.64,4.9,0,0,1.01,1.04,1.14,1.37,1.92,3.26,6.95,1.07,1.57,4.65,0,0,0
Detroit Pistons,Chimezie Metu,2.64,7.81,0,0,0,1.4,3.5,0,0,0,1.69,2.54,4.53,9.8,0,0,0,2.5,0,0,0,0,0
Detroit Pistons,Marcus Sasser,2.69,8.42,0,0,0,1.22,1.85,4.25,0,0,6.42,0,0,0,0,0,0,1.2,1.94,5.37,0,0,0
Detroit Pistons,Troy Brown Jr.,6.96,0,0,0,0,1.26,2.31,8.15,0,0,2.78,0,0,0,0,0,0,2,0,0,0,0,0
Detroit Pistons,Jaden Ivey,1.2,1.7,3.34,9.79,0,1.12,1.5,2.85,8.62,0,1.67,4.46,0,0,0,0,0,1.09,1.45,2.89,0,0,0
Detroit Pistons,Jalen Duren,1.25,2.1,5.91,0,0,nan,nan,nan,nan,nan,1.04,1.09,1.2,1.41,1.82,2.61,4.24,1.21,2.99,0,0,0,0
