Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Chicago Bulls,Coby White,1.08,1.27,1.82,3.4,8.83,1.09,1.23,1.54,2.21,3.76,1.34,2.48,8.11,0,0,0,0,1.04,1.23,1.91,4.51,0,0
Chicago Bulls,Alex Caruso,1.84,5.73,0,0,0,1.15,1.44,2.24,4.53,0,1.57,4.53,0,0,0,0,0,1.12,1.61,3.67,0,0,0
Chicago Bulls,Ayo Dosunmu,1.5,2.4,5.1,0,0,1.16,1.5,2.45,5.37,0,2.71,0,0,0,0,0,0,1.21,1.93,4.97,0,0,0
Chicago Bulls,DeMar DeRozan,1.03,1.11,1.34,1.94,3.55,1.24,2.03,5.51,0,0,1.36,2.57,8.53,0,0,0,0,1.03,1.18,1.79,4.2,0,0
Chicago Bulls,Javonte Green,1.53,2.62,6.23,0,0,1.11,1.6,3.87,0,0,1.13,1.46,2.48,6.09,0,0,0,5.54,0,0,0,0,0
Miami Heat,Terry Rozier,1.14,1.4,2.07,3.88,9.62,1.2,1.41,1.79,2.51,3.95,1.46,3.63,0,0,0,0,0,1.07,1.25,1.73,3.07,7.37,0
Miami Heat,Tyler Herro,1.01,1.07,1.48,3.55,0,1.02,1.08,1.25,1.69,2.82,1.16,1.83,5.13,0,0,0,0,1.03,1.23,2.16,7.07,0,0
Miami Heat,Haywood Highsmith,3.15,0,0,0,0,1.26,1.77,3.27,8.32,0,1.97,4.14,0,0,0,0,0,2.19,0,0,0,0,0
Miami Heat,Nikola Jovic,2.74,0,0,0,0,1.1,1.61,4.22,0,0,1.63,3.67,0,0,0,0,0,1.27,2.52,0,0,0,0
Miami Heat,Jaime Jaquez Jr.,1.48,2.6,6.73,0,0,1.23,2.86,0,0,0,1.39,3.21,0,0,0,0,0,1.3,2.38,7.8,0,0,0
