Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Cleveland Cavaliers,Darius Garland,1.15,1.47,2.34,4.93,0,1.15,1.36,1.82,2.83,5.24,2.0,7.16,0,0,0,0,0,1.01,1.09,1.42,2.68,8.52,0
Cleveland Cavaliers,Donovan Mitchell,1.03,1.11,1.35,2.03,4.03,1.01,1.06,1.24,1.76,3.36,1.22,1.83,4.1,0,0,0,0,1.02,1.15,1.68,3.81,0,0
Cleveland Cavaliers,Max Strus,1.41,2.52,7.04,0,0,1.11,1.3,1.76,2.87,5.85,1.32,2.02,4.28,0,0,0,0,1.08,1.42,2.83,0,0,0
Cleveland Cavaliers,Evan Mobley,1.08,1.4,2.62,8.13,0,1.32,3.26,0,0,0,1.06,1.18,1.48,2.19,4.02,9.42,0,1.22,2.23,8.32,0,0,0
Cleveland Cavaliers,Jarrett Allen,1.13,1.58,3.34,0,0,nan,nan,nan,nan,nan,1.04,1.12,1.27,1.61,2.3,3.83,7.55,1.24,2.43,0,0,0,0
Orlando Magic,Cole Anthony,1.54,2.7,6.78,0,0,1.19,1.74,3.66,0,0,1.51,2.85,8.54,0,0,0,0,1.25,2.12,6.15,0,0,0
Orlando Magic,Jalen Suggs,1.2,2.08,6.95,0,0,1.04,1.2,1.84,4.39,0,2.0,0,0,0,0,0,0,1.13,1.91,7.02,0,0,0
Orlando Magic,Moritz Wagner,1.58,3.52,0,0,0,1.32,5.3,0,0,0,1.43,2.31,5.07,0,0,0,0,1.88,0,0,0,0,0
Orlando Magic,Paolo Banchero,1.03,1.14,1.55,2.92,8.45,1.14,1.53,2.79,7.63,0,1.1,1.35,2.11,4.57,0,0,0,1.02,1.14,1.68,4.05,0,0
Orlando Magic,Wendell Carter Jr.,1.62,3.56,0,0,0,1.23,2.53,0,0,0,1.11,1.33,1.88,3.32,7.67,0,0,1.4,7.02,0,0,0,0
