Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Dallas Mavericks,Luka Doncic,1.01,1.03,1.08,1.21,1.49,1.01,1.04,1.12,1.3,1.7,1.03,1.11,1.32,1.84,3.19,7.1,0,1.01,1.03,1.1,1.29,1.75,2.93
Dallas Mavericks,Kyrie Irving,1.02,1.09,1.31,1.95,3.86,1.05,1.16,1.44,2.14,4.01,1.43,2.98,0,0,0,0,0,1.08,1.3,1.98,4.21,0,0
Dallas Mavericks,Derrick Jones Jr.,2.43,6.71,0,0,0,1.22,2.17,7.44,0,0,2.05,5.1,0,0,0,0,0,2.05,0,0,0,0,0
Dallas Mavericks,P.J. Washington,1.62,3.38,0,0,0,1.13,1.44,2.33,5.21,0,1.18,1.75,3.97,0,0,0,0,1.38,3.89,0,0,0,0
Dallas Mavericks,Daniel Gafford,1.56,3.07,9.73,0,0,nan,nan,nan,nan,nan,1.15,1.39,1.9,3.1,6.18,0,0,1.46,6.24,0,0,0,0
Los Angeles Clippers,Russell Westbrook,1.49,4.02,0,0,0,1.31,2.72,0,0,0,1.34,2.03,4.16,0,0,0,0,1.12,1.49,2.76,8.05,0,0
Los Angeles Clippers,James Harden,1.12,1.51,2.89,8.85,0,1.06,1.22,1.64,2.78,6.32,1.27,2.08,5.38,0,0,0,0,1.0,1.02,1.1,1.36,2.13,4.57
Los Angeles Clippers,Paul George,1.04,1.16,1.48,2.35,4.91,1.02,1.1,1.35,2.07,4.24,1.19,1.76,3.83,0,0,0,0,1.14,1.61,3.46,0,0,0
Los Angeles Clippers,Kawhi Leonard,1.04,1.16,1.53,2.61,6.14,1.09,1.37,2.26,5.41,0,1.12,1.54,3.22,0,0,0,0,1.06,1.43,3.34,0,0,0
Los Angeles Clippers,Ivica Zubac,1.28,2.71,0,0,0,nan,nan,nan,nan,nan,1.04,1.12,1.34,1.85,3.13,6.69,0,1.62,0,0,0,0,0
