Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Denver Nuggets,Jamal Murray,1.06,1.22,1.68,2.97,7.21,1.03,1.18,1.74,3.81,0,1.49,2.38,5.0,0,0,0,0,1.02,1.12,1.45,2.51,6.34,0
Denver Nuggets,Kentavious Caldwell-Pope,1.96,7.11,0,0,0,1.1,1.59,3.93,0,0,2.52,0,0,0,0,0,0,1.26,2.86,0,0,0,0
Denver Nuggets,Michael Porter Jr.,1.22,1.69,3.07,7.78,0,1.06,1.19,1.56,2.52,5.32,1.05,1.23,1.86,4.08,0,0,0,1.64,9.17,0,0,0,0
Denver Nuggets,Aaron Gordon,1.29,2.31,7.33,0,0,1.37,5.81,0,0,0,1.16,1.46,2.26,4.54,0,0,0,1.13,1.75,4.97,0,0,0
Denver Nuggets,Nikola Jokic,1.02,1.06,1.2,1.55,2.45,1.1,1.58,4.03,0,0,1.01,1.02,1.08,1.22,1.55,2.32,4.2,1.03,1.09,1.23,1.57,2.33,4.16
San Antonio Spurs,Malaki Branham,2.23,6.58,0,0,0,1.28,2.08,5.24,0,0,3.93,0,0,0,0,0,0,1.31,2.64,0,0,0,0
San Antonio Spurs,Julian Champagnie,3.55,0,0,0,0,1.22,1.68,2.99,7.33,0,2.52,9.61,0,0,0,0,0,1.58,0,0,0,0,0
San Antonio Spurs,Tre Jones,1.65,3.12,8.73,0,0,1.29,2.0,4.51,0,0,1.57,3.46,0,0,0,0,0,1.01,1.08,1.43,2.9,0,0
San Antonio Spurs,Cedi Osman,2.51,8.65,0,0,0,1.12,1.52,2.98,9.65,0,3.35,0,0,0,0,0,0,1.55,6.29,0,0,0,0
San Antonio Spurs,Victor Wembanyama,1.03,1.13,1.46,2.43,5.68,1.09,1.33,2.06,4.43,0,1.01,1.05,1.13,1.34,1.81,2.87,5.54,1.06,1.44,3.41,0,0,0
