Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Detroit Pistons,Chimezie Metu,5.6,0,0,0,0,1.43,6.83,0,0,0,1.82,3.75,0,0,0,0,0,2.12,0,0,0,0,0
Detroit Pistons,Marcus Sasser,2.17,4.92,0,0,0,1.21,1.71,3.32,9.54,0,5.79,0,0,0,0,0,0,1.18,1.76,4.05,0,0,0
Detroit Pistons,Troy Brown Jr.,7.59,0,0,0,0,1.33,2.23,5.85,0,0,2.67,0,0,0,0,0,0,2.1,0,0,0,0,0
Detroit Pistons,Jaden Ivey,1.24,1.72,3.07,7.49,0,1.21,1.53,2.29,4.19,9.67,1.69,3.83,0,0,0,0,0,1.12,1.65,4.15,0,0,0
Detroit Pistons,Jalen Duren,1.18,2.11,8.19,0,0,nan,nan,nan,nan,nan,1.03,1.07,1.17,1.38,1.79,2.61,4.37,1.26,2.69,0,0,0,0
Dallas Mavericks,Luka Doncic,1.0,1.0,1.02,1.09,1.31,1.03,1.09,1.25,1.58,2.33,1.02,1.08,1.29,1.93,3.94,0,0,1.01,1.02,1.08,1.24,1.63,2.58
Dallas Mavericks,Kyrie Irving,1.01,1.06,1.19,1.55,2.47,1.02,1.09,1.3,1.9,3.65,1.08,1.49,3.39,0,0,0,0,1.05,1.22,1.84,4.04,0,0
Dallas Mavericks,Derrick Jones Jr.,1.8,3.88,0,0,0,1.24,1.72,3.07,7.45,0,1.6,3.37,0,0,0,0,0,2.14,0,0,0,0,0
Dallas Mavericks,P.J. Washington,1.31,1.79,2.96,6.12,0,1.17,1.45,2.08,3.65,8.01,1.19,1.6,2.79,6.78,0,0,0,1.24,5.97,0,0,0,0
Dallas Mavericks,Daniel Gafford,1.51,3.95,0,0,0,nan,nan,nan,nan,nan,1.08,1.23,1.6,2.5,4.89,0,0,1.59,6.91,0,0,0,0
