Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Houston Rockets,Fred VanVleet,1.16,1.46,2.23,4.38,0,1.05,1.15,1.4,1.95,3.26,1.55,3.24,0,0,0,0,0,1.03,1.1,1.25,1.61,2.41,4.35
Houston Rockets,Jalen Green,1.18,1.43,1.96,3.14,6.06,1.13,1.33,1.77,2.79,5.32,1.28,1.87,3.61,9.8,0,0,0,1.15,1.58,3.06,9.29,0,0
Houston Rockets,Dillon Brooks,1.36,2.2,5.08,0,0,1.11,1.38,2.17,4.68,0,1.86,4.65,0,0,0,0,0,1.45,8.74,0,0,0,0
Houston Rockets,Jabari Smith Jr.,1.29,2.54,0,0,0,1.08,1.48,3.36,0,0,1.06,1.19,1.54,2.4,4.75,0,0,1.55,0,0,0,0,0
Houston Rockets,Amen Thompson,1.74,3.39,9.72,0,0,1.49,0,0,0,0,1.26,1.58,2.23,3.66,7.09,0,0,1.24,2.38,9.75,0,0,0
Portland Trail Blazers,Scoot Henderson,1.3,1.89,3.59,9.44,0,1.17,1.71,3.82,0,0,1.97,6.54,0,0,0,0,0,1.1,1.26,1.66,2.58,4.93,0
Portland Trail Blazers,Rayan Rupert,0,0,0,0,0,1.42,3.36,0,0,0,3.17,0,0,0,0,0,0,1.49,4.79,0,0,0,0
Portland Trail Blazers,Kris Murray,2.68,8.67,0,0,0,1.2,1.9,5.03,0,0,1.57,2.9,7.98,0,0,0,0,1.56,5.23,0,0,0,0
Portland Trail Blazers,Jabari Walker,1.89,4.92,0,0,0,1.26,2.98,0,0,0,1.16,1.44,2.16,4.09,0,0,0,2.15,0,0,0,0,0
Portland Trail Blazers,Deandre Ayton,1.18,1.51,2.32,4.52,0,1.71,0,0,0,0,1.02,1.06,1.15,1.35,1.75,2.57,4.39,1.47,0,0,0,0,0
