Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Indiana Pacers,Tyrese Haliburton,1.08,1.25,1.67,2.73,5.73,1.07,1.18,1.4,1.83,2.73,1.37,2.73,0,0,0,0,0,1.01,1.03,1.09,1.22,1.49,2.08
Indiana Pacers,Andrew Nembhard,2.08,7.23,0,0,0,1.2,2.32,0,0,0,4.17,0,0,0,0,0,0,1.1,1.45,2.79,8.91,0,0
Indiana Pacers,Aaron Nesmith,1.4,2.59,7.94,0,0,1.06,1.25,1.88,3.98,0,1.56,3.16,0,0,0,0,0,1.55,6.62,0,0,0,0
Indiana Pacers,Pascal Siakam,1.03,1.16,1.56,2.8,7.35,1.23,2.17,7.27,0,0,1.11,1.37,2.06,4.1,0,0,0,1.08,1.37,2.49,7.52,0,0
Indiana Pacers,Myles Turner,1.12,1.53,3.07,0,0,1.2,1.65,2.97,7.56,0,1.13,1.48,2.54,6.24,0,0,0,1.79,0,0,0,0,0
Cleveland Cavaliers,Darius Garland,1.09,1.33,2.07,4.49,0,1.08,1.25,1.72,2.98,6.89,3.26,0,0,0,0,0,0,1.01,1.07,1.28,1.98,4.39,0
Cleveland Cavaliers,Donovan Mitchell,1.01,1.05,1.14,1.38,1.91,1.04,1.12,1.3,1.73,2.73,1.32,2.05,4.47,0,0,0,0,1.01,1.06,1.31,2.24,6.22,0
Cleveland Cavaliers,Max Strus,1.45,2.65,7.56,0,0,1.1,1.27,1.66,2.57,4.9,1.34,2.39,7.09,0,0,0,0,1.05,1.57,5.66,0,0,0
Cleveland Cavaliers,Evan Mobley,1.2,1.9,4.86,0,0,1.43,6.83,0,0,0,1.03,1.08,1.22,1.55,2.28,4.03,8.83,1.15,1.65,3.65,0,0,0
Cleveland Cavaliers,Jarrett Allen,1.12,1.49,2.75,7.95,0,nan,nan,nan,nan,nan,1.03,1.08,1.2,1.48,2.08,3.44,6.87,1.12,2.12,0,0,0,0
