Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Los Angeles Lakers,D'Angelo Russell,1.22,1.59,2.51,5.04,0,1.1,1.26,1.6,2.35,4.07,1.82,5.55,0,0,0,0,0,1.03,1.13,1.39,2.07,3.95,0
Los Angeles Lakers,Austin Reaves,1.17,1.6,3.01,8.42,0,1.15,1.41,2.08,3.83,9.21,1.6,2.61,5.48,0,0,0,0,1.07,1.26,1.84,3.67,0,0
Los Angeles Lakers,Rui Hachimura,1.31,1.95,3.89,0,0,1.19,1.57,2.64,5.98,0,1.35,2.09,4.44,0,0,0,0,1.67,0,0,0,0,0
Los Angeles Lakers,LeBron James,1.0,1.03,1.14,1.52,2.74,1.17,1.4,1.86,2.87,5.19,1.11,1.29,1.67,2.5,4.47,9.72,0,1.02,1.08,1.25,1.7,2.88,6.35
Los Angeles Lakers,Anthony Davis,1.01,1.07,1.24,1.73,3.13,1.36,3.64,0,0,0,1.0,1.01,1.04,1.13,1.38,1.99,3.55,1.25,1.89,4.05,0,0,0
Denver Nuggets,Jamal Murray,1.07,1.23,1.66,2.8,6.19,1.08,1.23,1.6,2.51,4.92,1.54,3.74,0,0,0,0,0,1.04,1.15,1.41,2.08,3.84,9.23
Denver Nuggets,Kentavious Caldwell-Pope,1.54,3.36,0,0,0,1.11,1.35,2.03,4.03,0,3.28,0,0,0,0,0,0,1.26,2.61,0,0,0,0
Denver Nuggets,Michael Porter Jr.,1.08,1.36,2.33,6.14,0,1.02,1.09,1.34,2.12,4.72,1.12,1.38,2.06,3.99,0,0,0,1.47,7.0,0,0,0,0
Denver Nuggets,Aaron Gordon,1.16,1.81,4.87,0,0,1.21,2.86,0,0,0,1.17,1.48,2.28,4.48,0,0,0,1.11,1.59,3.78,0,0,0
Denver Nuggets,Nikola Jokic,1.02,1.07,1.23,1.65,2.75,1.22,2.34,9.85,0,0,1.01,1.03,1.09,1.24,1.56,2.27,3.92,1.0,1.02,1.07,1.25,1.75,3.18
