Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Los Angeles Lakers,D'Angelo Russell,1.2,1.55,2.43,4.84,0,1.1,1.25,1.59,2.34,4.1,1.77,5.21,0,0,0,0,0,1.04,1.13,1.39,2.07,3.95,0
Los Angeles Lakers,Austin Reaves,1.18,1.61,2.99,8.15,0,1.16,1.44,2.13,3.93,9.38,1.55,2.47,5.11,0,0,0,0,1.05,1.22,1.75,3.43,9.94,0
Los Angeles Lakers,Rui Hachimura,1.31,1.93,3.74,0,0,1.2,1.58,2.62,5.75,0,1.37,2.13,4.48,0,0,0,0,1.73,0,0,0,0,0
Los Angeles Lakers,LeBron James,1.0,1.03,1.15,1.57,2.93,1.17,1.39,1.84,2.8,4.97,1.13,1.31,1.71,2.56,4.56,9.79,0,1.01,1.06,1.23,1.76,3.34,9.12
Los Angeles Lakers,Anthony Davis,1.02,1.07,1.26,1.8,3.37,1.36,3.54,0,0,0,1.0,1.01,1.04,1.14,1.38,1.97,3.46,1.27,1.91,4.06,0,0,0
Memphis Grizzlies,Scotty Pippen Jr.,1.28,2.36,8.13,0,0,1.05,1.34,2.7,0,0,1.81,7.19,0,0,0,0,0,1.02,1.14,1.66,3.92,0,0
Memphis Grizzlies,Desmond Bane,1.05,1.18,1.52,2.41,4.95,1.03,1.09,1.27,1.68,2.69,1.41,2.37,5.75,0,0,0,0,1.09,1.25,1.64,2.56,4.93,0
Memphis Grizzlies,Luke Kennard,1.49,3.68,0,0,0,1.04,1.15,1.48,2.41,5.31,2.12,0,0,0,0,0,0,1.23,1.85,4.03,0,0,0
Memphis Grizzlies,Jaren Jackson Jr.,1.03,1.16,1.58,2.93,8.07,1.13,1.45,2.34,5.2,0,1.17,1.77,4.29,0,0,0,0,1.21,2.72,0,0,0,0
Memphis Grizzlies,Santi Aldama,1.53,3.13,0,0,0,1.1,1.35,2.03,4.07,0,1.17,1.61,3.08,8.93,0,0,0,1.37,2.85,0,0,0,0
