Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Miami Heat,Terry Rozier,1.08,1.25,1.7,2.89,6.48,1.15,1.34,1.69,2.4,3.9,1.39,2.89,0,0,0,0,0,1.06,1.22,1.71,3.19,8.48,0
Miami Heat,Tyler Herro,1.07,1.25,1.74,3.08,7.37,1.02,1.08,1.33,2.13,4.87,1.21,1.81,4.0,0,0,0,0,1.05,1.37,3.11,0,0,0
Miami Heat,Haywood Highsmith,3.53,0,0,0,0,1.26,1.93,4.28,0,0,1.76,5.73,0,0,0,0,0,1.78,0,0,0,0,0
Miami Heat,Nikola Jovic,2.29,5.7,0,0,0,1.17,1.57,2.76,6.87,0,1.4,2.27,5.16,0,0,0,0,1.55,6.38,0,0,0,0
Miami Heat,Jaime Jaquez Jr.,1.5,2.81,8.16,0,0,1.18,1.95,6.03,0,0,1.68,3.96,0,0,0,0,0,1.2,2.42,0,0,0,0
Boston Celtics,Jrue Holiday,1.35,3.13,0,0,0,1.09,1.35,2.23,5.46,0,1.25,1.92,4.26,0,0,0,0,1.09,1.42,2.58,7.56,0,0
Boston Celtics,Derrick White,1.27,1.82,3.41,8.83,0,1.07,1.21,1.54,2.3,4.24,1.4,2.98,0,0,0,0,0,1.02,1.15,1.73,4.29,0,0
Boston Celtics,Jaylen Brown,1.03,1.12,1.4,2.2,4.72,1.1,1.31,1.82,3.18,7.19,1.19,1.72,3.5,0,0,0,0,1.11,1.6,3.86,0,0,0
Boston Celtics,Jayson Tatum,1.0,1.01,1.1,1.48,2.91,1.02,1.08,1.28,1.88,3.75,1.02,1.13,1.6,3.53,0,0,0,1.03,1.22,2.05,6.14,0,0
Boston Celtics,Kristaps Porzingis,1.04,1.19,1.73,3.71,0,1.03,1.2,1.86,4.63,0,1.06,1.24,1.77,3.38,9.17,0,0,1.33,6.68,0,0,0,0
