Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
New Orleans Pelicans,CJ McCollum,1.07,1.25,1.77,3.34,8.92,1.04,1.1,1.23,1.51,2.09,1.37,2.91,0,0,0,0,0,1.03,1.28,2.66,0,0,0
New Orleans Pelicans,Herbert Jones,1.55,4.24,0,0,0,1.12,1.48,2.69,7.41,0,1.67,3.74,0,0,0,0,0,1.18,2.66,0,0,0,0
New Orleans Pelicans,Trey Murphy III,1.2,1.57,2.55,5.41,0,1.07,1.17,1.37,1.77,2.57,1.32,2.36,7.12,0,0,0,0,1.3,2.73,0,0,0,0
New Orleans Pelicans,Brandon Ingram,1.09,1.29,1.82,3.28,7.97,1.26,2.0,4.91,0,0,1.18,1.98,6.27,0,0,0,0,1.01,1.09,1.61,4.38,0,0
New Orleans Pelicans,Jonas Valanciunas,1.48,2.87,9.19,0,0,1.33,4.0,0,0,0,1.05,1.16,1.45,2.16,4.0,9.6,0,1.35,3.5,0,0,0,0
Chicago Bulls,Coby White,1.1,1.37,2.2,4.95,0,1.11,1.27,1.65,2.47,4.45,1.33,2.3,6.5,0,0,0,0,1.05,1.25,1.93,4.41,0,0
Chicago Bulls,Alex Caruso,1.55,4.8,0,0,0,1.04,1.22,1.96,5.19,0,1.51,2.85,8.52,0,0,0,0,1.1,1.76,6.23,0,0,0
Chicago Bulls,Ayo Dosunmu,1.51,2.58,6.18,0,0,1.15,1.55,2.86,7.97,0,1.86,4.89,0,0,0,0,0,1.22,1.84,4.19,0,0,0
Chicago Bulls,DeMar DeRozan,1.01,1.07,1.3,2.08,4.93,1.16,2.16,0,0,0,1.35,2.91,0,0,0,0,0,1.03,1.17,1.8,4.52,0,0
Chicago Bulls,Javonte Green,1.54,2.16,3.5,6.7,0,1.14,3.52,0,0,0,1.1,1.21,1.42,1.8,2.54,4.0,7.14,3.52,0,0,0,0,0
