Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
New Orleans Pelicans,CJ McCollum,1.07,1.26,1.81,3.48,9.51,1.03,1.1,1.24,1.55,2.22,1.38,2.92,0,0,0,0,0,1.03,1.29,2.66,0,0,0
New Orleans Pelicans,Herbert Jones,1.56,4.28,0,0,0,1.13,1.49,2.7,7.35,0,1.69,3.8,0,0,0,0,0,1.19,2.74,0,0,0,0
New Orleans Pelicans,Trey Murphy III,1.21,1.6,2.63,5.63,0,1.08,1.18,1.4,1.82,2.68,1.34,2.49,8.14,0,0,0,0,1.3,2.7,0,0,0,0
New Orleans Pelicans,Zion Williamson,1.02,1.11,1.38,2.21,4.96,1.67,0,0,0,0,1.13,1.49,2.6,6.63,0,0,0,1.04,1.25,2.09,5.95,0,0
New Orleans Pelicans,Jonas Valanciunas,1.48,2.84,8.88,0,0,1.33,3.91,0,0,0,1.05,1.16,1.43,2.11,3.88,9.22,0,1.34,3.41,0,0,0,0
Golden State Warriors,Stephen Curry,1.02,1.07,1.22,1.57,2.42,1.01,1.04,1.11,1.25,1.53,1.42,2.57,7.36,0,0,0,0,1.06,1.31,2.3,6.78,0,0
Golden State Warriors,Brandin Podziemski,1.89,4.65,0,0,0,1.11,1.5,2.94,9.45,0,1.15,1.6,3.14,9.77,0,0,0,1.09,1.56,3.81,0,0,0
Golden State Warriors,Andrew Wiggins,1.44,2.55,6.94,0,0,1.19,1.77,3.94,0,0,1.43,2.88,0,0,0,0,0,1.36,5.0,0,0,0,0
Golden State Warriors,Trayce Jackson-Davis,2.24,5.79,0,0,0,nan,nan,nan,nan,nan,1.4,1.88,2.92,5.39,0,0,0,1.83,0,0,0,0,0
Golden State Warriors,Jonathan Kuminga,1.15,1.61,3.23,0,0,1.28,3.22,0,0,0,1.26,1.95,4.43,0,0,0,0,1.19,2.83,0,0,0,0
