Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
New Orleans Pelicans,CJ McCollum,1.07,1.25,1.77,3.34,8.92,1.04,1.1,1.23,1.51,2.09,1.37,2.91,0,0,0,0,0,1.03,1.28,2.66,0,0,0
New Orleans Pelicans,Herbert Jones,1.55,4.24,0,0,0,1.12,1.48,2.69,7.41,0,1.67,3.74,0,0,0,0,0,1.18,2.66,0,0,0,0
New Orleans Pelicans,Trey Murphy III,1.2,1.57,2.55,5.41,0,1.07,1.17,1.37,1.77,2.57,1.32,2.36,7.12,0,0,0,0,1.3,2.73,0,0,0,0
New Orleans Pelicans,Brandon Ingram,1.09,1.29,1.82,3.28,7.97,1.26,2.0,4.91,0,0,1.18,1.98,6.27,0,0,0,0,1.01,1.09,1.61,4.38,0,0
New Orleans Pelicans,Jonas Valanciunas,1.48,2.87,9.19,0,0,1.33,4.0,0,0,0,1.05,1.16,1.45,2.16,4.0,9.6,0,1.35,3.5,0,0,0,0
Oklahoma City Thunder,Shai Gilgeous-Alexander,1.0,1.01,1.05,1.2,1.67,1.15,1.63,3.45,0,0,1.09,1.51,3.38,0,0,0,0,1.01,1.07,1.34,2.37,6.92,0
Oklahoma City Thunder,Josh Giddey,1.31,2.21,5.83,0,0,1.23,2.04,5.82,0,0,1.07,1.3,2.1,5.14,0,0,0,1.05,1.28,2.13,5.77,0,0
Oklahoma City Thunder,Jalen Williams,1.09,1.36,2.24,5.4,0,1.13,1.56,3.16,0,0,1.5,3.28,0,0,0,0,0,1.07,1.4,2.84,0,0,0
Oklahoma City Thunder,Luguentz Dort,1.51,2.88,8.79,0,0,1.07,1.27,1.82,3.47,9.32,1.69,3.8,0,0,0,0,0,1.53,8.75,0,0,0,0
Oklahoma City Thunder,Chet Holmgren,1.14,1.51,2.72,7.31,0,1.12,1.49,2.75,7.83,0,1.06,1.23,1.69,2.98,7.15,0,0,1.24,2.8,0,0,0,0
