Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Orlando Magic,Cole Anthony,1.49,2.98,0,0,0,1.15,1.88,5.95,0,0,1.62,3.36,0,0,0,0,0,1.23,1.97,5.0,0,0,0
Orlando Magic,Jalen Suggs,1.6,3.04,8.78,0,0,1.16,1.43,2.08,3.7,8.4,1.94,6.1,0,0,0,0,0,1.25,2.88,0,0,0,0
Orlando Magic,Franz Wagner,1.07,1.28,1.94,4.15,0,1.15,1.59,3.08,9.28,0,1.1,1.62,4.32,0,0,0,0,1.11,1.54,3.33,0,0,0
Orlando Magic,Paolo Banchero,1.03,1.12,1.38,2.05,3.9,1.17,1.6,2.93,7.82,0,1.06,1.29,2.13,5.52,0,0,0,1.04,1.22,1.87,4.34,0,0
Orlando Magic,Wendell Carter Jr.,1.43,3.4,0,0,0,1.07,1.41,2.95,0,0,1.09,1.34,2.08,4.5,0,0,0,1.24,9.45,0,0,0,0
Philadelphia 76ers,Tyrese Maxey,1.01,1.04,1.18,1.62,2.96,1.02,1.09,1.29,1.83,3.33,1.56,3.01,9.12,0,0,0,0,1.01,1.06,1.34,2.51,8.35,0
Philadelphia 76ers,Kyle Lowry,2.19,5.54,0,0,0,1.11,1.48,2.78,8.31,0,1.8,6.72,0,0,0,0,0,1.11,1.5,3.0,0,0,0
Philadelphia 76ers,Tobias Harris,1.2,1.58,2.62,5.78,0,1.23,1.73,3.18,8.2,0,1.08,1.36,2.3,5.97,0,0,0,1.09,1.74,6.29,0,0,0
Philadelphia 76ers,Kelly Oubre Jr.,1.24,1.82,3.71,0,0,1.15,1.6,3.29,0,0,1.31,2.04,4.49,0,0,0,0,2.09,0,0,0,0,0
Philadelphia 76ers,Mo Bamba,0,0,0,0,0,1.46,8.46,0,0,0,1.64,3.0,7.91,0,0,0,0,2.65,0,0,0,0,0
