Team,Player,10+ PTS,15+ PTS,20+ PTS,25+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,5+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Phoenix Suns,Bradley Beal,1.15,1.41,2.01,3.51,7.73,1.13,1.35,1.82,2.93,5.76,1.19,2.11,7.68,0,0,0,0,1.02,1.13,1.64,3.78,0,0
Phoenix Suns,Devin Booker,1.05,1.11,1.25,1.51,2.02,1.14,1.35,1.81,2.87,5.48,1.26,2.2,6.74,0,0,0,0,1.02,1.09,1.38,2.34,5.95,0
Phoenix Suns,Grayson Allen,1.38,2.36,6.09,0,0,1.11,1.28,1.67,2.57,4.8,1.47,3.45,0,0,0,0,0,1.19,2.27,0,0,0,0
Phoenix Suns,Kevin Durant,1.02,1.07,1.23,1.65,2.72,1.05,1.2,1.69,3.27,9.34,1.05,1.25,1.94,4.53,0,0,0,1.11,1.35,2.02,3.96,0,0
Phoenix Suns,Jusuf Nurkic,1.79,4.22,0,0,0,1.5,0,0,0,0,1.07,1.15,1.32,1.63,2.23,3.42,5.97,1.1,1.43,2.62,7.7,0,0
Minnesota Timberwolves,Mike Conley,1.51,3.43,0,0,0,1.04,1.18,1.64,3.2,9.53,2.22,0,0,0,0,0,0,1.02,1.11,1.47,2.75,8.28,0
Minnesota Timberwolves,Anthony Edwards,1.06,1.16,1.37,1.84,2.88,1.12,1.32,1.78,2.89,5.84,1.24,1.78,3.52,0,0,0,0,1.03,1.2,2.02,6.18,0,0
Minnesota Timberwolves,Jaden McDaniels,1.7,3.84,0,0,0,1.15,1.57,2.94,8.29,0,2.0,5.66,0,0,0,0,0,1.5,8.01,0,0,0,0
Minnesota Timberwolves,Naz Reid,1.27,2.05,5.19,0,0,1.08,1.27,1.83,3.47,9.21,1.27,1.93,4.14,0,0,0,0,1.69,0,0,0,0,0
Minnesota Timberwolves,Rudy Gobert,1.16,1.83,5.08,0,0,nan,nan,nan,nan,nan,1.01,1.02,1.06,1.17,1.4,1.88,2.96,1.7,0,0,0,0,0
