Team,Player,4+ Rebs,6+ Rebs
76ers,Tyrese Maxey,1.82,0
76ers,Kyle Lowry,3.75,0
76ers,Caleb Martin,1.37,2.03
76ers,Kelly Oubre Jr.,1.17,1.95
76ers,Andre Drummond,1.09,1.25
76ers,Eric Gordon,0,0
76ers,Paul George,1.14,1.63
76ers,Joel Embiid,1.1,1.29
76ers,Guerschon Yabusele,1.22,1.75
Hornets,LaMelo Ball,1.24,1.8
Hornets,Cody Martin,1.16,2.15
Hornets,Brandon Miller,1.27,1.84
Hornets,Miles Bridges,1.05,1.3
Hornets,Nick Richards,1.08,1.19
Hornets,Tre Mann,2.08,8.98
Hornets,Grant Williams,1.23,1.92
Hornets,Vasilije Micic,2.0,4.23
Hornets,Vasilije Micic,2.0,4.23
