Team,Player,4+ Rebs,6+ Rebs
Atlanta Hawks,Jalen Johnson,1.0,1.02
Atlanta Hawks,Jalen Johnson,1.0,1.02
Atlanta Hawks,Clint Capela,1.05,1.26
Atlanta Hawks,Trae Young,1.29,1.79
Atlanta Hawks,Dyson Daniels,1.51,2.49
Atlanta Hawks,Onyeka Okongwu,1.14,1.48
Atlanta Hawks,Garrison Mathews,0,0
Atlanta Hawks,Vit Krejci,5.63,0
Atlanta Hawks,David Roddy,1.0,1.32
Washington Wizards,Bilal Coulibaly,1.31,2.26
Washington Wizards,Jordan Poole,,
Washington Wizards,Kyle Kuzma,1.75,2.76
Washington Wizards,Kyle Kuzma,1.75,2.76
Washington Wizards,Kyle Kuzma,1.75,2.76
Washington Wizards,Kyle Kuzma,1.75,2.76
Washington Wizards,Corey Kispert,1.78,4.73
Washington Wizards,Jonas Valanciunas,1.02,1.15
Washington Wizards,Marvin Bagley III,1.31,2.26
