Team,Player,4+ Rebs,6+ Rebs
Boston Celtics,Jrue Holiday,1.66,0
Boston Celtics,Derrick White,1.24,3.03
Boston Celtics,Jaylen Brown,1.0,1.06
Boston Celtics,Jayson Tatum,1.16,1.44
Boston Celtics,Al Horford,1.07,3.24
Boston Celtics,Luke Kornet,2.0,0
Boston Celtics,Payton Pritchard,2.0,7.32
Boston Celtics,Xavier Tillman,1.73,3.63
Boston Celtics,Xavier Tillman,1.73,3.63
Indiana Pacers,Tyrese Haliburton,1.42,2.13
Indiana Pacers,Andrew Nembhard,0,0
Indiana Pacers,Aaron Nesmith,1.6,3.35
Indiana Pacers,Pascal Siakam,1.04,1.25
Indiana Pacers,Myles Turner,1.08,1.4
Indiana Pacers,Obi Toppin,4.17,0
Indiana Pacers,Bennedict Mathurin,2.0,6.3
Indiana Pacers,T.J. McConnell,2.79,0
Indiana Pacers,Ben Sheppard,0,0
