Team,Player,4+ Rebs,6+ Rebs
Brooklyn Nets,Dennis Schroder,2.0,7.09
Brooklyn Nets,Cam Thomas,1.77,4.91
Brooklyn Nets,Ben Simmons,1.0,1.23
Brooklyn Nets,Cameron Johnson,1.48,2.87
Brooklyn Nets,Nic Claxton,1.08,1.26
Brooklyn Nets,Nic Claxton,1.08,1.26
Brooklyn Nets,Noah Clowney,1.64,5.01
Brooklyn Nets,Ziaire Williams,1.46,2.23
Brooklyn Nets,Jalen Wilson,1.79,4.41
New York Knicks,Karl-Anthony Towns,1.0,1.02
New York Knicks,Josh Hart,1.03,1.11
New York Knicks,Jalen Brunson,2.1,0
New York Knicks,OG Anunoby,1.17,2.0
New York Knicks,Mikal Bridges,1.58,3.21
New York Knicks,Cameron Payne,5.75,0
New York Knicks,Cameron Payne,5.75,0
New York Knicks,Jericho Sims,1.64,3.62
New York Knicks,Jericho Sims,1.64,3.62
