Team,Player,4+ Rebs,6+ Rebs
Cavaliers,Darius Garland,2.7,0
Cavaliers,Donovan Mitchell,1.39,2.08
Cavaliers,Dean Wade,1.3,3.4
Cavaliers,Evan Mobley,1.02,1.09
Cavaliers,Jarrett Allen,1.02,1.07
Cavaliers,Georges Niang,1.67,4.22
Cavaliers,Caris LeVert,2.0,5.72
Cavaliers,Isaac Okoro,2.65,9.07
Cavaliers,Ty Jerome,3.92,0
Wizards,Bilal Coulibaly,1.18,1.79
Wizards,Jordan Poole,3.04,0
Wizards,Kyle Kuzma,1.26,1.75
Wizards,Malcolm Brogdon,1.57,2.17
Wizards,Kyle Kuzma,1.26,1.75
Wizards,Kyle Kuzma,1.26,1.75
Wizards,Corey Kispert,1.65,4.69
Wizards,Jonas Valanciunas,1.05,1.21
Wizards,Marvin Bagley III,2.82,0
