Team,Player,4+ Rebs,6+ Rebs
Celtics,Jrue Holiday,1.37,3.38
Celtics,Derrick White,1.27,2.29
Celtics,Jaylen Brown,1.11,1.39
Celtics,Jayson Tatum,1.02,1.13
Celtics,Al Horford,1.1,1.69
Celtics,Luke Kornet,1.47,2.93
Celtics,Payton Pritchard,2.56,0
Celtics,Xavier Tillman,3.02,0
Celtics,Xavier Tillman,3.02,0
Bulls,Coby White,1.67,3.58
Bulls,Zach LaVine,1.33,2.2
Bulls,Nikola Vucevic,1.0,1.03
Bulls,Patrick Williams,1.3,2.0
Bulls,Josh Giddey,1.2,1.62
Bulls,Ayo Dosunmu,1.49,3.97
Bulls,Lonzo Ball,2.89,0
Bulls,Julian Phillips,3.21,0
Bulls,Jalen Smith,1.14,1.95
