Team,Player,4+ Rebs,6+ Rebs
Celtics,Jrue Holiday,1.34,2.82
Celtics,Derrick White,1.25,2.22
Celtics,Jaylen Brown,1.15,1.49
Celtics,Jayson Tatum,1.03,1.13
Celtics,Al Horford,1.18,1.91
Celtics,Luke Kornet,1.47,2.93
Celtics,Payton Pritchard,2.2,8.68
Celtics,Xavier Tillman,3.02,0
Celtics,Xavier Tillman,3.02,0
Cavaliers,Darius Garland,3.1,0
Cavaliers,Donovan Mitchell,1.42,2.14
Cavaliers,Dean Wade,1.3,3.4
Cavaliers,Evan Mobley,1.03,1.1
Cavaliers,Jarrett Allen,1.02,1.08
Cavaliers,Georges Niang,1.63,3.98
Cavaliers,Sam Merrill,6.01,0
Cavaliers,Isaac Okoro,2.61,8.5
Cavaliers,Ty Jerome,3.67,0
