Team,Player,4+ Rebs,6+ Rebs
Celtics,Jrue Holiday,1.43,3.32
Celtics,Derrick White,1.24,2.41
Celtics,Jaylen Brown,1.07,1.32
Celtics,Jayson Tatum,1.04,1.16
Celtics,Al Horford,1.09,1.63
Celtics,Luke Kornet,1.52,3.14
Celtics,Payton Pritchard,2.56,0
Celtics,Xavier Tillman,3.11,0
Celtics,Xavier Tillman,3.11,0
Wizards,Bilal Coulibaly,1.14,1.6
Wizards,Jordan Poole,2.92,0
Wizards,Kyle Kuzma,1.11,1.37
Wizards,Kyle Kuzma,1.11,1.37
Wizards,Kyle Kuzma,1.11,1.37
Wizards,Kyle Kuzma,1.11,1.37
Wizards,Corey Kispert,1.81,6.47
Wizards,Jonas Valanciunas,1.05,1.2
Wizards,Marvin Bagley III,2.76,9.47
