Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Chicago Bulls,Coby White,1.29,1.67,1.73,2.65,2.8,1.32,1.44,1.62,1.85,5.51,1.0,1.09,2.0,0,0,0,0,1.0,1.0,1.32,0,0,0
Chicago Bulls,Zach LaVine,1.0,1.0,1.0,0,0,1.05,1.14,1.32,1.69,0,nan,nan,nan,nan,nan,nan,nan,1.32,4.17,0,0,0,0
Chicago Bulls,Nikola Vucevic,1.0,1.0,1.0,0,0,1.14,1.32,1.69,2.46,0,1.0,1.0,1.0,1.02,4.17,0,0,1.32,2.46,8.38,0,0,0
Chicago Bulls,Patrick Williams,1.85,0,0,0,0,1.02,1.32,4.17,0,0,1.32,4.17,0,0,0,0,0,1.02,4.17,0,0,0,0
Chicago Bulls,Josh Giddey,1.0,8.38,0,0,0,1.32,2.0,4.17,0,0,1.0,1.32,0,0,0,0,0,1.14,1.32,1.69,2.46,4.17,8.38
Chicago Bulls,Ayo Dosunmu,5.78,0,0,0,0,nan,nan,nan,nan,nan,1.02,4.17,0,0,0,0,0,1.02,1.32,4.17,0,0,0
Chicago Bulls,Lonzo Ball,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chicago Bulls,Julian Phillips,0,0,0,0,0,1.32,4.17,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0
Chicago Bulls,Jalen Smith,1.09,0,0,0,0,1.09,1.32,2.0,4.17,0,nan,nan,nan,nan,nan,nan,nan,4.17,0,0,0,0,0
Chicago Bulls,Coby White,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Zach LaVine,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Nikola Vucevic,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Patrick Williams,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Josh Giddey,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Ayo Dosunmu,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Lonzo Ball,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Julian Phillips,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,Jalen Smith,,,,,,,,,,,,,,,,,,,,,,,
