Team,Player,4+ Rebs,6+ Rebs
Chicago Bulls,Coby White,1.69,3.51
Chicago Bulls,Zach LaVine,1.29,1.84
Chicago Bulls,Nikola Vucevic,1.0,1.02
Chicago Bulls,Patrick Williams,1.22,1.74
Chicago Bulls,Josh Giddey,1.19,1.54
Chicago Bulls,Ayo Dosunmu,1.24,2.59
Chicago Bulls,Lonzo Ball,2.29,7.6
Chicago Bulls,Julian Phillips,7.35,0
Chicago Bulls,Jalen Smith,1.03,1.86
Cleveland Cavaliers,Darius Garland,3.94,0
Cleveland Cavaliers,Donovan Mitchell,1.56,2.53
Cleveland Cavaliers,Dean Wade,1.29,3.01
Cleveland Cavaliers,Evan Mobley,1.06,1.18
Cleveland Cavaliers,Jarrett Allen,1.04,1.11
Cleveland Cavaliers,Georges Niang,1.86,7.84
Cleveland Cavaliers,Sam Merrill,6.51,0
Cleveland Cavaliers,Isaac Okoro,2.63,8.62
Cleveland Cavaliers,Ty Jerome,3.8,0
