Team,Player,4+ Rebs,6+ Rebs
Cleveland Cavaliers,Darius Garland,9.06,0
Cleveland Cavaliers,Donovan Mitchell,3.24,0
Cleveland Cavaliers,Dean Wade,1.16,1.82
Cleveland Cavaliers,Evan Mobley,1.02,1.1
Cleveland Cavaliers,Jarrett Allen,1.08,1.18
Cleveland Cavaliers,Georges Niang,1.47,3.11
Cleveland Cavaliers,Sam Merrill,0,0
Cleveland Cavaliers,Isaac Okoro,2.79,0
Cleveland Cavaliers,Ty Jerome,0,0
Los Angeles Lakers,D'Angelo Russell,4.17,0
Los Angeles Lakers,Austin Reaves,1.03,1.22
Los Angeles Lakers,Rui Hachimura,1.02,1.12
Los Angeles Lakers,LeBron James,1.25,1.5
Los Angeles Lakers,Anthony Davis,1.01,1.05
Los Angeles Lakers,Max Christie,4.17,0
Los Angeles Lakers,Max Christie,4.17,0
Los Angeles Lakers,Jaxson Hayes,1.37,3.7
Los Angeles Lakers,Gabe Vincent,0,0
