Team,Player,4+ Rebs,6+ Rebs
Clippers,Derrick Jones Jr.,1.75,4.86
Clippers,James Harden,1.17,1.49
Clippers,Norman Powell,1.97,4.51
Clippers,Terance Mann,1.93,5.41
Clippers,Ivica Zubac,1.0,1.0
Clippers,Kris Dunn,1.63,4.05
Clippers,Kris Dunn,1.63,4.05
Clippers,Kevin Porter Jr.,1.67,3.44
Clippers,Nicolas Batum,2.52,0
Mavericks,Luka Doncic,1.01,1.06
Mavericks,Kyrie Irving,1.28,2.23
Mavericks,Klay Thompson,1.6,4.44
Mavericks,P.J. Washington,1.08,1.24
Mavericks,Daniel Gafford,1.07,1.35
Mavericks,Dereck Lively II,1.09,1.26
Mavericks,Maxi Kleber,2.0,4.9
Mavericks,Naji Marshall,1.74,4.69
Mavericks,Jaden Hardy,0,0
