Team,Player,4+ Rebs,6+ Rebs
Clippers,Derrick Jones Jr.,1.59,4.04
Clippers,James Harden,1.09,1.31
Clippers,Norman Powell,1.96,4.06
Clippers,Terance Mann,1.73,4.63
Clippers,Ivica Zubac,1.0,1.0
Clippers,Kris Dunn,1.54,3.8
Clippers,Amir Coffey,2.6,0
Clippers,Kevin Porter Jr.,1.79,4.08
Clippers,Nicolas Batum,2.39,0
Timberwolves,Mike Conley,2.0,9.88
Timberwolves,Anthony Edwards,1.16,1.73
Timberwolves,Jaden McDaniels,1.52,3.8
Timberwolves,Julius Randle,1.04,1.26
Timberwolves,Rudy Gobert,1.02,1.06
Timberwolves,Donte DiVincenzo,2.0,7.39
Timberwolves,Naz Reid,1.29,1.94
Timberwolves,Nickeil Alexander-Walker,2.64,0
Timberwolves,Joe Ingles,0,0
