Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Dallas Mavericks,Luka Doncic,1.07,1.28,1.32,2.04,2.19,1.06,1.15,1.35,1.78,0,1.0,1.0,1.0,1.14,0,0,0,1.01,1.06,1.31,2.26,6.39,0
Dallas Mavericks,Kyrie Irving,1.01,1.48,1.69,0,0,1.0,1.0,1.14,3.52,0,1.6,3.82,0,0,0,0,0,1.12,1.34,1.86,3.15,6.76,0
Dallas Mavericks,Klay Thompson,1.0,1.27,1.6,0,0,1.0,1.0,1.0,1.02,0,1.27,2.29,7.6,0,0,0,0,1.4,0,0,0,0,0
Dallas Mavericks,P.J. Washington,1.87,0,0,0,0,1.19,2.0,6.3,0,0,1.1,1.31,1.85,3.31,7.89,0,0,1.63,0,0,0,0,0
Dallas Mavericks,Daniel Gafford,3.56,0,0,0,0,nan,nan,nan,nan,nan,1.0,1.02,2.0,0,0,0,0,1.45,3.24,0,0,0,0
Dallas Mavericks,Dereck Lively II,1.51,8.85,0,0,0,nan,nan,nan,nan,nan,1.09,1.22,1.51,2.14,3.54,7.04,0,1.11,1.6,3.82,0,0,0
Dallas Mavericks,Maxi Kleber,0,0,0,0,0,1.32,4.17,0,0,0,2.46,8.38,0,0,0,0,0,1.32,0,0,0,0,0
Dallas Mavericks,Naji Marshall,0,0,0,0,0,nan,nan,nan,nan,nan,2.0,4.45,0,0,0,0,0,1.0,3.52,0,0,0,0
Dallas Mavericks,Jaden Hardy,4.98,0,0,0,0,1.39,2.0,3.55,8.06,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0
Minnesota Timberwolves,Mike Conley,4.45,0,0,0,0,1.14,1.63,3.56,0,0,2.0,0,0,0,0,0,0,1.07,1.45,3.24,0,0,0
Minnesota Timberwolves,Anthony Edwards,1.0,1.01,1.02,2.14,2.7,nan,nan,nan,nan,nan,1.0,1.01,8.13,0,0,0,0,1.0,1.14,0,0,0,0
Minnesota Timberwolves,Jaden McDaniels,8.06,0,0,0,0,1.4,8.13,0,0,0,8.13,0,0,0,0,0,0,1.19,6.3,0,0,0,0
Minnesota Timberwolves,Julius Randle,1.04,1.3,1.36,3.0,3.43,1.19,1.39,1.8,2.59,0,1.02,1.14,1.63,3.54,0,0,0,1.0,1.01,8.13,0,0,0
Minnesota Timberwolves,Rudy Gobert,1.72,8.59,0,0,0,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.01,1.24,3.03,0,1.4,0,0,0,0,0
Minnesota Timberwolves,Donte DiVincenzo,1.32,0,0,0,0,1.07,1.24,1.71,3.03,0,6.3,0,0,0,0,0,0,1.01,8.13,0,0,0,0
Minnesota Timberwolves,Naz Reid,1.19,5.56,7.71,0,0,1.19,1.45,2.0,3.24,0,1.28,1.54,2.0,2.86,4.53,8.06,0,1.39,8.02,0,0,0,0
Minnesota Timberwolves,Nickeil Alexander-Walker,2.0,0,0,0,0,1.02,1.14,1.63,3.56,0,2.59,8.08,0,0,0,0,0,1.45,3.24,0,0,0,0
Minnesota Timberwolves,Joe Ingles,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,1.39,3.55,0,0,0,0
