Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Denver Nuggets,Jamal Murray,1.06,2.38,2.9,0,0,1.16,1.49,2.41,5.21,0,1.29,1.74,2.84,5.83,0,0,0,1.0,1.07,1.71,7.29,0,0
Denver Nuggets,Christian Braun,1.04,6.66,0,0,0,1.14,3.52,0,0,0,1.04,1.39,3.55,0,0,0,0,1.4,0,0,0,0,0
Denver Nuggets,Michael Porter Jr.,1.16,0,0,0,0,1.24,1.71,3.03,7.29,0,1.0,1.0,1.0,3.52,0,0,0,1.01,8.13,0,0,0,0
Denver Nuggets,Aaron Gordon,1.13,0,0,0,0,1.19,2.0,6.3,0,0,1.04,1.16,1.5,2.42,5.23,0,0,1.24,1.63,2.59,5.17,0,0
Denver Nuggets,Nikola Jokic,1.05,1.18,1.21,1.61,1.69,1.13,1.24,1.41,1.7,0,1.0,1.0,1.01,1.24,3.03,0,0,1.14,1.28,1.54,2.0,2.86,4.53
Denver Nuggets,Russell Westbrook,5.83,0,0,0,0,1.4,8.13,0,0,0,1.78,4.73,0,0,0,0,0,1.07,1.71,7.29,0,0,0
Denver Nuggets,Julian Strawther,5.21,0,0,0,0,1.14,1.63,3.56,0,0,0,0,0,0,0,0,0,1.71,7.29,0,0,0,0
Denver Nuggets,Peyton Watson,0,0,0,0,0,nan,nan,nan,nan,nan,2.19,4.49,0,0,0,0,0,2.0,0,0,0,0,0
Denver Nuggets,Dario Saric,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,8.13,0,0,0,0,0
Brooklyn Nets,Dennis Schroder,1.08,1.59,1.72,5.54,6.69,1.01,1.07,1.24,1.71,0,2.41,0,0,0,0,0,0,1.0,1.0,1.01,8.13,0,0
Brooklyn Nets,Cam Thomas,1.0,1.02,1.03,1.49,1.65,1.07,1.15,1.29,1.54,0,1.0,1.4,0,0,0,0,0,1.0,3.52,0,0,0,0
Brooklyn Nets,Ben Simmons,0,0,0,0,0,nan,nan,nan,nan,nan,1.0,1.14,0,0,0,0,0,1.03,1.17,1.65,3.35,0,0
Brooklyn Nets,Cameron Johnson,1.0,0,0,0,0,1.02,1.19,2.0,6.3,0,1.45,3.24,0,0,0,0,0,1.49,5.21,0,0,0,0
Brooklyn Nets,Nic Claxton,3.96,0,0,0,0,nan,nan,nan,nan,nan,1.14,1.39,2.0,3.55,8.06,0,0,1.71,7.29,0,0,0,0
Brooklyn Nets,Nic Claxton,3.96,0,0,0,0,nan,nan,nan,nan,nan,1.14,1.39,2.0,3.55,8.06,0,0,1.71,7.29,0,0,0,0
Brooklyn Nets,Noah Clowney,2.0,0,0,0,0,1.08,1.39,2.58,8.02,0,1.45,3.24,0,0,0,0,0,nan,nan,nan,nan,nan,nan
Brooklyn Nets,Ziaire Williams,4.17,0,0,0,0,1.02,1.32,4.17,0,0,1.32,2.0,4.17,0,0,0,0,nan,nan,nan,nan,nan,nan
Brooklyn Nets,Jalen Wilson,2.74,0,0,0,0,1.39,2.58,8.02,0,0,3.55,0,0,0,0,0,0,1.14,0,0,0,0,0
