Team,Player,4+ Rebs,6+ Rebs
Denver Nuggets,Jamal Murray,1.61,2.93
Denver Nuggets,Christian Braun,1.13,1.73
Denver Nuggets,Michael Porter Jr.,1.01,1.14
Denver Nuggets,Aaron Gordon,1.21,1.5
Denver Nuggets,Nikola Jokic,1.0,1.02
Denver Nuggets,Russell Westbrook,1.39,3.14
Denver Nuggets,Julian Strawther,3.98,0
Denver Nuggets,Peyton Watson,1.92,6.24
Denver Nuggets,Dario Saric,0,0
New Orleans Pelicans,CJ McCollum,1.66,4.61
New Orleans Pelicans,Herbert Jones,2.86,0
New Orleans Pelicans,Daniel Theis,1.65,4.14
New Orleans Pelicans,Brandon Ingram,1.01,1.32
New Orleans Pelicans,Zion Williamson,1.07,1.22
New Orleans Pelicans,Jordan Hawkins,1.25,2.57
New Orleans Pelicans,Jordan Hawkins,1.25,2.57
New Orleans Pelicans,Jose Alvarado,2.81,9.73
New Orleans Pelicans,Javonte Green,1.78,7.28
