Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Denver Nuggets,Jamal Murray,1.15,2.25,2.57,0,0,1.0,1.02,1.32,4.17,0,1.57,2.76,6.92,0,0,0,0,1.0,1.02,4.17,0,0,0
Denver Nuggets,Christian Braun,1.11,9.85,0,0,0,1.32,4.17,0,0,0,1.05,1.24,2.0,5.12,0,0,0,nan,nan,nan,nan,nan,nan
Denver Nuggets,Michael Porter Jr.,1.32,0,0,0,0,1.32,1.69,2.46,4.17,0,1.0,1.0,1.02,4.17,0,0,0,1.02,4.17,0,0,0,0
Denver Nuggets,Aaron Gordon,1.09,0,0,0,0,1.32,4.17,0,0,0,1.09,1.32,2.0,4.17,0,0,0,nan,nan,nan,nan,nan,nan
Denver Nuggets,Nikola Jokic,1.16,1.38,1.42,1.96,2.05,1.21,1.32,1.47,1.69,5.78,1.0,1.0,1.05,1.32,2.46,8.38,0,1.14,1.24,1.41,1.69,2.13,2.88
Denver Nuggets,Russell Westbrook,0,0,0,0,0,1.32,4.17,0,0,0,2.0,4.17,0,0,0,0,0,1.14,1.69,4.17,0,0,0
Denver Nuggets,Julian Strawther,0,0,0,0,0,1.32,2.0,4.17,0,0,0,0,0,0,0,0,0,1.32,4.17,0,0,0,0
Denver Nuggets,Peyton Watson,0,0,0,0,0,nan,nan,nan,nan,nan,2.0,3.14,5.78,0,0,0,0,4.17,0,0,0,0,0
Denver Nuggets,Dario Saric,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
Toronto Raptors,Scottie Barnes,1.17,1.89,2.06,6.58,7.85,1.4,8.13,0,0,0,1.01,1.24,3.03,0,0,0,0,1.0,1.02,2.0,0,0,0
Toronto Raptors,Ochai Agbaji,1.63,4.93,5.9,0,0,1.39,2.0,3.55,8.06,0,1.29,1.84,3.42,8.71,0,0,0,1.4,0,0,0,0,0
Toronto Raptors,Gradey Dick,1.24,2.37,2.65,0,0,1.07,1.24,1.71,3.03,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
Toronto Raptors,Jakob Poeltl,1.63,6.3,7.9,0,0,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.4,0,0,0,1.0,3.52,0,0,0,0
Toronto Raptors,Davion Mitchell,4.69,0,0,0,0,1.39,2.58,8.02,0,0,5.21,0,0,0,0,0,0,1.11,1.39,2.2,4.77,0,0
Toronto Raptors,Chris Boucher,2.07,8.05,9.94,0,0,1.39,1.8,2.59,4.26,0,1.49,2.15,3.72,7.91,0,0,0,3.52,0,0,0,0,0
Toronto Raptors,Chris Boucher,2.07,8.05,9.94,0,0,1.39,1.8,2.59,4.26,0,1.49,2.15,3.72,7.91,0,0,0,3.52,0,0,0,0,0
Toronto Raptors,Chris Boucher,2.07,8.05,9.94,0,0,1.39,1.8,2.59,4.26,0,1.49,2.15,3.72,7.91,0,0,0,3.52,0,0,0,0,0
Toronto Raptors,Bruno Fernando,0,0,0,0,0,nan,nan,nan,nan,nan,1.15,1.78,4.73,0,0,0,0,3.52,0,0,0,0,0
