Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Detroit Pistons,Tim Hardaway Jr.,1.29,5.9,7.96,0,0,1.01,1.09,1.38,2.37,0,8.15,0,0,0,0,0,0,1.45,0,0,0,0,0
Detroit Pistons,Tobias Harris,1.47,0,0,0,0,1.28,2.52,0,0,0,1.21,1.47,2.0,3.14,5.78,0,0,1.25,3.24,0,0,0,0
Detroit Pistons,Cade Cunningham,1.36,1.81,1.89,3.0,3.2,1.14,1.63,3.56,0,0,1.49,5.21,0,0,0,0,0,1.08,1.29,1.84,3.42,8.71,0
Detroit Pistons,Jaden Ivey,1.0,1.34,1.5,0,0,1.16,1.37,1.82,2.79,0,1.0,3.24,0,0,0,0,0,1.1,1.56,3.67,0,0,0
Detroit Pistons,Jalen Duren,1.52,0,0,0,0,nan,nan,nan,nan,nan,1.0,1.03,1.14,1.54,2.86,8.15,0,1.07,1.77,8.22,0,0,0
Detroit Pistons,Malik Beasley,1.48,6.59,8.59,0,0,1.06,1.18,1.49,2.26,0,2.59,0,0,0,0,0,0,3.24,0,0,0,0,0
Detroit Pistons,Isaiah Stewart,0,0,0,0,0,nan,nan,nan,nan,nan,1.33,1.6,2.07,2.92,4.5,7.66,0,1.12,9.06,0,0,0,0
Detroit Pistons,Simone Fontecchio,4.57,0,0,0,0,1.19,1.73,3.63,0,0,3.63,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
Detroit Pistons,Simone Fontecchio,4.57,0,0,0,0,1.19,1.73,3.63,0,0,3.63,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
Miami Heat,Terry Rozier,1.0,1.01,1.4,0,0,1.01,1.07,1.24,1.71,0,1.0,1.4,0,0,0,0,0,1.01,1.39,8.02,0,0,0
Miami Heat,Tyler Herro,1.01,1.88,2.3,0,0,1.0,1.0,1.14,3.52,0,1.0,3.52,0,0,0,0,0,1.01,1.16,2.41,0,0,0
Miami Heat,Jimmy Butler,1.34,2.09,2.24,5.08,5.7,1.4,8.13,0,0,0,1.19,1.8,4.26,0,0,0,0,1.0,1.01,1.16,2.41,0,0
Miami Heat,Nikola Jovic,1.62,0,0,0,0,1.0,1.14,3.52,0,0,1.01,8.13,0,0,0,0,0,1.39,2.2,4.77,0,0,0
Miami Heat,Bam Adebayo,1.14,0,0,0,0,nan,nan,nan,nan,nan,1.04,1.15,1.43,2.18,4.27,0,0,1.16,2.41,0,0,0,0
Miami Heat,Alec Burks,4.17,0,0,0,0,1.32,1.69,2.46,4.17,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
Miami Heat,Jaime Jaquez Jr.,1.57,0,0,0,0,nan,nan,nan,nan,nan,1.04,1.27,2.29,7.6,0,0,0,1.35,2.68,0,0,0,0
Miami Heat,Duncan Robinson,0,0,0,0,0,1.14,1.63,3.56,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0
Miami Heat,Thomas Bryant,0,0,0,0,0,1.14,3.52,0,0,0,6.3,0,0,0,0,0,0,1.63,0,0,0,0,0
