Team,Player,4+ Rebs,6+ Rebs
Detroit Pistons,Tim Hardaway Jr.,8.15,0
Detroit Pistons,Tobias Harris,1.21,1.47
Detroit Pistons,Cade Cunningham,1.06,1.49
Detroit Pistons,Jaden Ivey,1.0,3.24
Detroit Pistons,Jalen Duren,1.0,1.03
Detroit Pistons,Malik Beasley,2.59,0
Detroit Pistons,Isaiah Stewart,1.33,1.6
Detroit Pistons,Simone Fontecchio,3.63,0
Detroit Pistons,Simone Fontecchio,3.63,0
Philadelphia 76ers,Tyrese Maxey,1.45,3.24
Philadelphia 76ers,Kyle Lowry,3.55,0
Philadelphia 76ers,Caleb Martin,1.06,1.17
Philadelphia 76ers,Kelly Oubre Jr.,1.63,2.59
Philadelphia 76ers,Andre Drummond,1.01,1.02
Philadelphia 76ers,Eric Gordon,nan,nan
Philadelphia 76ers,Guerschon Yabusele,1.08,2.58
Philadelphia 76ers,Guerschon Yabusele,1.08,2.58
Philadelphia 76ers,Guerschon Yabusele,1.08,2.58
