Team,Player,4+ Rebs,6+ Rebs
Hawks,Jalen Johnson,1.03,1.09
Hawks,Jalen Johnson,1.03,1.09
Hawks,Clint Capela,1.05,1.17
Hawks,Trae Young,1.52,3.11
Hawks,Dyson Daniels,1.27,2.05
Hawks,Onyeka Okongwu,1.17,1.48
Hawks,Garrison Mathews,0,0
Hawks,Vit Krejci,7.89,0
Hawks,David Roddy,1.87,3.73
Bulls,Coby White,1.84,4.49
Bulls,Zach LaVine,1.23,1.86
Bulls,Nikola Vucevic,1.01,1.04
Bulls,Patrick Williams,1.3,2.0
Bulls,Josh Giddey,1.18,1.54
Bulls,Ayo Dosunmu,1.39,3.28
Bulls,Lonzo Ball,2.29,7.6
Bulls,Julian Phillips,3.57,0
Bulls,Jalen Smith,1.16,2.23
