Team,Player,4+ Rebs,6+ Rebs
Hawks,Jalen Johnson,1.02,1.08
Hawks,Jalen Johnson,1.02,1.08
Hawks,Clint Capela,1.05,1.14
Hawks,Trae Young,1.46,3.06
Hawks,Dyson Daniels,1.24,1.92
Hawks,Onyeka Okongwu,1.12,1.41
Hawks,Garrison Mathews,0,0
Hawks,De'Andre Hunter,1.43,3.34
Hawks,David Roddy,2.08,4.5
Spurs,Chris Paul,1.5,3.01
Spurs,Julian Champagnie,1.11,1.86
Spurs,Harrison Barnes,1.5,2.68
Spurs,Jeremy Sochan,1.09,1.23
Spurs,Victor Wembanyama,1.03,1.09
Spurs,Keldon Johnson,1.14,1.76
Spurs,Keldon Johnson,1.14,1.76
Spurs,Tre Jones,2.76,0
Spurs,Zach Collins,1.78,4.69
